_time,country,sensor,type,speed
2024-09-16 23:59:40.852000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-16 23:59:37.287000+00:00,CZ,BI-TP-O2,0,-1
2024-09-16 23:58:59.019000+00:00,CZ,BI-TP-R2,2,48
2024-09-16 23:58:58.873000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-16 23:58:55.051000+00:00,CZ,BI-TP-I2,0,-1
2024-09-16 23:58:39.287000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-16 23:58:35.939000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-16 23:58:35.899000+00:00,CZ,BI-MO-R1,2,62
2024-09-16 23:58:35.881000+00:00,CZ,BI-MO-O1,0,-1
2024-09-16 23:58:07.778000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-16 23:58:05.012000+00:00,CZ,BI-MO-I1,0,-1
2024-09-16 23:56:36.710000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-16 23:56:36.526000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-16 23:56:34.075000+00:00,CZ,BI-TP-O2,0,-1
2024-09-16 23:56:33.678000+00:00,CZ,BI-MO-R1,2,65
2024-09-16 23:56:33.674000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-16 23:56:33.616000+00:00,CZ,BI-MO-O1,0,-1
2024-09-16 23:56:06.856000+00:00,CZ,BI-TP-R2,2,69
2024-09-16 23:56:06.761000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-16 23:56:04.398000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-16 23:56:04.116000+00:00,CZ,BI-TP-I2,0,-1
2024-09-16 23:56:01.570000+00:00,CZ,BI-MO-I1,0,-1
2024-09-16 23:55:01.105000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-16 23:54:58.161000+00:00,CZ,BI-TP-O2,0,-1
2024-09-16 23:54:27.974000+00:00,CZ,BI-TP-R2,2,63
2024-09-16 23:54:27.809000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-16 23:54:24.977000+00:00,CZ,BI-TP-I2,0,-1
2024-09-16 23:53:42.116000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-16 23:53:38.738000+00:00,CZ,BI-TP-O2,0,-1
2024-09-16 23:53:02.572000+00:00,CZ,BI-TP-R2,1,52
2024-09-16 23:53:02.435000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-16 23:52:58.982000+00:00,CZ,BI-TP-I2,0,-1
2024-09-16 23:52:44.952000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-16 23:52:43.186000+00:00,CZ,BI-TP-O2,0,-1
2024-09-16 23:52:24.362000+00:00,CZ,BI-TP-R2,2,93
