_time,country,sensor,type,speed
2024-08-28 23:59:51.383000+00:00,CZ,BI-MO-O1B,0,-1
2024-08-28 23:59:48.295000+00:00,CZ,BI-MO-R1,2,57
2024-08-28 23:59:48.283000+00:00,unknown,BI-MO-O1B,0,-1
2024-08-28 23:59:48.235000+00:00,CZ,BI-MO-O1,0,59
2024-08-28 23:59:44.492000+00:00,CZ,BI-TP-O2B,0,-1
2024-08-28 23:59:41.402000+00:00,CZ,BI-TP-O2,0,62
2024-08-28 23:59:15.981000+00:00,CZ,BI-MO-I1B,0,-1
2024-08-28 23:59:12.850000+00:00,CZ,BI-MO-I1,0,-1
2024-08-28 23:59:11.366000+00:00,CZ,BI-TP-R2,2,60
2024-08-28 23:59:11.266000+00:00,CZ,BI-TP-I2B,0,-1
2024-08-28 23:59:08.100000+00:00,CZ,BI-TP-I2,0,-1
2024-08-28 23:58:49.445000+00:00,CZ,BI-MO-O1B,0,-1
2024-08-28 23:58:46.779000+00:00,unknown,BI-MO-O1B,0,-1
2024-08-28 23:58:46.747000+00:00,CZ,BI-MO-R1,2,64
2024-08-28 23:58:46.668000+00:00,CZ,BI-MO-O1,0,65
2024-08-28 23:58:42.615000+00:00,CZ,BI-TP-O2B,0,-1
2024-08-28 23:58:39.773000+00:00,CZ,BI-TP-O2,0,62
2024-08-28 23:58:37.789000+00:00,CZ,BI-MO-O1B,0,-1
2024-08-28 23:58:35.187000+00:00,CZ,BI-MO-R1,1,66
2024-08-28 23:58:35.185000+00:00,unknown,BI-MO-O1B,0,-1
2024-08-28 23:58:35.136000+00:00,CZ,BI-MO-O1,0,66
2024-08-28 23:58:17.329000+00:00,CZ,BI-MO-I1B,0,-1
2024-08-28 23:58:14.569000+00:00,CZ,BI-MO-I1,0,-1
2024-08-28 23:58:09.350000+00:00,CZ,BI-TP-R2,2,60
2024-08-28 23:58:09.266000+00:00,CZ,BI-TP-I2B,0,-1
2024-08-28 23:58:06.417000+00:00,CZ,BI-MO-I1B,0,-1
2024-08-28 23:58:06.224000+00:00,CZ,BI-TP-I2,0,-1
2024-08-28 23:58:03.719000+00:00,CZ,BI-MO-I1,0,-1
2024-08-28 23:52:36.016000+00:00,CZ,BI-MO-O1B,0,-1
2024-08-28 23:52:32.445000+00:00,CZ,BI-MO-R1,1,51
2024-08-28 23:52:32.420000+00:00,unknown,BI-MO-O1B,0,-1
2024-08-28 23:52:32.373000+00:00,CZ,BI-MO-O1,0,57
2024-08-28 23:51:58.817000+00:00,CZ,BI-MO-I1B,0,-1
2024-08-28 23:51:55.748000+00:00,CZ,BI-MO-I1,0,-1
2024-08-28 23:51:08.460000+00:00,CZ,BI-TP-O2B,0,-1
2024-08-28 23:51:06.972000+00:00,CZ,BI-TP-O2B,0,-1
2024-08-28 23:51:05.744000+00:00,CZ,BI-TP-O2,0,69
