_time,country,sensor,type,speed
2024-11-26 23:59:59.274000+00:00,CZ,BI-TP-R2,5,70
2024-11-26 23:59:59.204000+00:00,CZ,BI-TP-I2B,0,-1
2024-11-26 23:59:56.005000+00:00,CZ,BI-TP-I2,0,-1
2024-11-26 23:59:09.274000+00:00,CZ,BI-MO-O1B,0,-1
2024-11-26 23:59:06.568000+00:00,unknown,BI-MO-R1,4,69
2024-11-26 23:59:06.360000+00:00,unknown,BI-MO-O1B,0,-1
2024-11-26 23:59:06.334000+00:00,CZ,BI-MO-R1,4,69
2024-11-26 23:59:06.271000+00:00,CZ,BI-MO-R1,4,69
2024-11-26 23:59:06.236000+00:00,unknown,BI-MO-O1B,0,-1
2024-11-26 23:59:06.171000+00:00,CZ,BI-MO-O1,0,72
2024-11-26 23:59:00.819000+00:00,unknown,BI-MO-R1,1,60
2024-11-26 23:59:00.780000+00:00,unknown,BI-MO-O1B,0,-1
2024-11-26 23:59:00.777000+00:00,unknown,BI-MO-O1,0,-1
2024-11-26 23:58:59.974000+00:00,unknown,BI-MO-O1B,0,-1
2024-11-26 23:58:59.945000+00:00,CZ,BI-MO-R1,4,67
2024-11-26 23:58:59.909000+00:00,CZ,BI-MO-O1,0,70
2024-11-26 23:58:39.743000+00:00,CZ,BI-MO-I1B,0,-1
2024-11-26 23:58:37.212000+00:00,CZ,BI-MO-I1,0,-1
2024-11-26 23:58:33.295000+00:00,CZ,BI-MO-I1B,0,-1
2024-11-26 23:58:30.144000+00:00,CZ,BI-MO-I1,0,-1
2024-11-26 23:58:27.362000+00:00,CZ,BI-MO-O1B,0,-1
2024-11-26 23:58:23.891000+00:00,CZ,BI-MO-R1,1,53
2024-11-26 23:58:23.890000+00:00,unknown,BI-MO-O1B,0,-1
2024-11-26 23:58:23.825000+00:00,CZ,BI-MO-O1,0,60
2024-11-26 23:58:13.969000+00:00,CZ,BI-MO-O1B,0,-1
2024-11-26 23:58:10.621000+00:00,unknown,BI-MO-O1B,0,-1
2024-11-26 23:58:10.597000+00:00,CZ,BI-MO-R1,2,59
2024-11-26 23:58:10.557000+00:00,CZ,BI-MO-O1,0,61
2024-11-26 23:57:52.127000+00:00,CZ,BI-MO-I1B,0,-1
2024-11-26 23:57:49.163000+00:00,CZ,BI-MO-I1,0,-1
2024-11-26 23:57:39.851000+00:00,CZ,BI-MO-I1B,0,-1
2024-11-26 23:57:36.639000+00:00,CZ,BI-MO-I1,0,-1
2024-11-26 23:57:12.980000+00:00,CZ,BI-TP-O2B,0,-1
2024-11-26 23:57:08.745000+00:00,CZ,BI-TP-O2,0,42
2024-11-26 23:56:24.075000+00:00,CZ,BI-TP-R2,2,42
2024-11-26 23:56:24.066000+00:00,CZ,BI-TP-I2B,0,-1
2024-11-26 23:56:19.872000+00:00,CZ,BI-TP-I2,0,-1
2024-11-26 23:55:59.696000+00:00,CZ,BI-TP-O2B,0,-1
2024-11-26 23:55:56.949000+00:00,CZ,BI-TP-O2,0,64
2024-11-26 23:55:27.448000+00:00,CZ,BI-TP-R2,2,64
2024-11-26 23:55:27.274000+00:00,CZ,BI-TP-I2B,0,-1
2024-11-26 23:55:24.506000+00:00,CZ,BI-TP-I2,0,-1
2024-11-26 23:55:23.922000+00:00,D,BI-TP-O2B,0,-1
2024-11-26 23:55:20.555000+00:00,D,BI-TP-O2,0,63
2024-11-26 23:54:51.784000+00:00,D,BI-TP-R2,5,56
2024-11-26 23:54:51.748000+00:00,D,BI-TP-I2B,0,-1
2024-11-26 23:54:47.616000+00:00,D,BI-TP-I2,0,-1
2024-11-26 23:53:09.858000+00:00,unknown,BI-MO-O1B,0,-1
2024-11-26 23:53:09.856000+00:00,unknown,BI-MO-O1,0,-1
2024-11-26 23:53:09.855000+00:00,unknown,BI-MO-R1,3,51
2024-11-26 23:53:09.114000+00:00,unknown,BI-MO-O1B,0,-1
2024-11-26 23:53:09.105000+00:00,GB,BI-MO-R1,5,51
2024-11-26 23:53:09.050000+00:00,GB,BI-MO-O1,0,54
2024-11-26 23:52:34.376000+00:00,CZ,BI-MO-I1B,0,-1
2024-11-26 23:52:30.670000+00:00,GB,BI-MO-I1,0,-1
2024-11-26 23:52:06.885000+00:00,CZ,BI-TP-O2B,0,-1
2024-11-26 23:52:03.580000+00:00,CZ,BI-TP-O2,0,57
2024-11-26 23:51:34.998000+00:00,PL,BI-MO-O1B,0,-1
2024-11-26 23:51:32.003000+00:00,PL,BI-MO-R1,5,63
2024-11-26 23:51:31.960000+00:00,unknown,BI-MO-O1B,0,-1
2024-11-26 23:51:31.958000+00:00,PL,BI-MO-O1,0,62
2024-11-26 23:51:30.932000+00:00,CZ,BI-TP-I2B,0,-1
2024-11-26 23:51:30.909000+00:00,CZ,BI-TP-R2,5,52
2024-11-26 23:51:27.169000+00:00,CZ,BI-TP-I2,0,-1
2024-11-26 23:51:01.748000+00:00,PL,BI-MO-I1B,0,-1
2024-11-26 23:50:58.600000+00:00,PL,BI-MO-I1,0,-1
2024-11-26 23:44:31.288000+00:00,CZ,BI-MO-O1B,0,-1
2024-11-26 23:44:27.696000+00:00,unknown,BI-MO-R1,1,45
2024-11-26 23:44:27.691000+00:00,unknown,BI-MO-O1,0,-1
2024-11-26 23:44:27.630000+00:00,unknown,BI-MO-O1B,0,-1
2024-11-26 23:44:26.541000+00:00,CZ,BI-MO-R1,2,46
2024-11-26 23:44:26.514000+00:00,unknown,BI-MO-O1B,0,-1
2024-11-26 23:44:26.390000+00:00,unknown,BI-MO-O1B,0,-1
2024-11-26 23:44:26.353000+00:00,CZ,BI-MO-R1,4,47
2024-11-26 23:44:26.327000+00:00,CZ,BI-MO-O1,0,51
2024-11-26 23:43:45.283000+00:00,CZ,BI-MO-I1,0,-1
2024-11-26 23:42:57.978000+00:00,CZ,BI-MO-O1B,0,-1
2024-11-26 23:42:54.940000+00:00,unknown,BI-MO-O1B,0,-1
2024-11-26 23:42:54.922000+00:00,CZ,BI-MO-R1,2,56
2024-11-26 23:42:54.876000+00:00,CZ,BI-MO-O1,0,62
2024-11-26 23:42:23.861000+00:00,CZ,BI-MO-I1B,0,-1
2024-11-26 23:42:21.149000+00:00,CZ,BI-MO-I1,0,-1
2024-11-26 23:39:51.109000+00:00,CZ,BI-MO-O1B,0,-1
2024-11-26 23:39:47.465000+00:00,CZ,BI-MO-R1,1,52
2024-11-26 23:39:47.451000+00:00,unknown,BI-MO-O1B,0,-1
2024-11-26 23:39:47.388000+00:00,CZ,BI-MO-O1,0,-1
2024-11-26 23:39:16.249000+00:00,CZ,BI-MO-I1B,0,-1
2024-11-26 23:39:14.901000+00:00,CZ,BI-MO-O1B,0,-1
2024-11-26 23:39:13.476000+00:00,CZ,BI-MO-I1,0,-1
2024-11-26 23:39:11.553000+00:00,unknown,BI-MO-O1B,0,-1
2024-11-26 23:39:11.536000+00:00,CZ,BI-MO-R1,2,52
2024-11-26 23:39:11.428000+00:00,CZ,BI-MO-O1,0,-1
2024-11-26 23:38:37.623000+00:00,CZ,BI-MO-I1B,0,-1
2024-11-26 23:38:34.726000+00:00,CZ,BI-MO-I1,0,-1
2024-11-26 23:37:36.073000+00:00,CZ,BI-MO-O1B,0,-1
2024-11-26 23:37:32.810000+00:00,CZ,BI-MO-R1,5,65
2024-11-26 23:37:32.787000+00:00,unknown,BI-MO-O1B,0,-1
2024-11-26 23:37:32.723000+00:00,CZ,BI-MO-O1,0,66
2024-11-26 23:37:04.561000+00:00,CZ,BI-MO-I1B,0,-1
2024-11-26 23:37:01.416000+00:00,CZ,BI-MO-I1,0,-1
2024-11-26 23:36:55.215000+00:00,CZ,BI-MO-O1B,0,-1
2024-11-26 23:36:52.647000+00:00,CZ,BI-MO-R1,1,67
2024-11-26 23:36:52.611000+00:00,unknown,BI-MO-O1B,0,-1
2024-11-26 23:36:52.547000+00:00,CZ,BI-MO-O1,0,68
2024-11-26 23:36:24.447000+00:00,CZ,BI-MO-I1B,0,-1
2024-11-26 23:36:21.798000+00:00,CZ,BI-MO-I1,0,-1
2024-11-26 23:34:29.514000+00:00,CZ,BI-MO-O1B,0,-1
2024-11-26 23:34:27.056000+00:00,CZ,BI-MO-R1,1,70
2024-11-26 23:34:27.034000+00:00,unknown,BI-MO-O1B,0,-1
2024-11-26 23:34:26.971000+00:00,CZ,BI-MO-O1,0,70
2024-11-26 23:33:59.924000+00:00,CZ,BI-MO-I1B,0,-1
2024-11-26 23:33:57.401000+00:00,CZ,BI-MO-I1,0,-1
2024-11-26 23:32:19.376000+00:00,CZ,BI-MO-O1B,0,-1
2024-11-26 23:32:17.144000+00:00,unknown,BI-MO-O1B,0,-1
2024-11-26 23:32:17.134000+00:00,CZ,BI-MO-R1,1,81
2024-11-26 23:32:17.081000+00:00,CZ,BI-MO-O1,0,84
2024-11-26 23:31:52.285000+00:00,CZ,BI-MO-I1,0,-1
2024-11-26 23:31:06.173000+00:00,CZ,BI-TP-O2B,0,-1
2024-11-26 23:31:02.869000+00:00,CZ,BI-TP-O2,0,57
2024-11-26 23:30:29.847000+00:00,CZ,BI-TP-R2,2,56
