_time,country,sensor,type,speed
2024-10-01 23:59:58.896000+00:00,CZ,BI-MO-I1B,0,-1
2024-10-01 23:59:56.095000+00:00,CZ,BI-MO-I1,0,-1
2024-10-01 23:58:37.691000+00:00,CZ,BI-MO-O1B,0,-1
2024-10-01 23:58:34.095000+00:00,unknown,BI-MO-O1B,0,-1
2024-10-01 23:58:34.086000+00:00,CZ,BI-MO-R1,5,59
2024-10-01 23:58:34.070000+00:00,CZ,BI-MO-O1,0,60
2024-10-01 23:58:02.770000+00:00,CZ,BI-MO-I1B,0,-1
2024-10-01 23:57:59.287000+00:00,CZ,BI-MO-I1,0,-1
2024-10-01 23:57:42.511000+00:00,CZ,BI-MO-O1B,0,-1
2024-10-01 23:57:39.567000+00:00,CZ,BI-MO-R1,2,59
2024-10-01 23:57:39.535000+00:00,unknown,BI-MO-O1B,0,-1
2024-10-01 23:57:39.473000+00:00,unknown,BI-MO-O1B,0,-1
2024-10-01 23:57:39.458000+00:00,CZ,BI-MO-R1,2,59
2024-10-01 23:57:39.386000+00:00,CZ,BI-MO-O1,0,62
2024-10-01 23:57:36.373000+00:00,CZ,BI-MO-O1B,0,-1
2024-10-01 23:57:33.583000+00:00,unknown,BI-MO-O1B,0,-1
2024-10-01 23:57:33.537000+00:00,CZ,BI-MO-R1,2,64
2024-10-01 23:57:33.496000+00:00,CZ,BI-MO-O1,0,65
2024-10-01 23:57:08.644000+00:00,CZ,BI-MO-I1B,0,-1
2024-10-01 23:57:05.595000+00:00,CZ,BI-MO-I1,0,-1
2024-10-01 23:57:04.242000+00:00,CZ,BI-MO-I1B,0,-1
2024-10-01 23:57:01.565000+00:00,CZ,BI-MO-I1,0,-1
2024-10-01 23:56:46.463000+00:00,CZ,BI-MO-O1B,0,-1
2024-10-01 23:56:43.893000+00:00,CZ,BI-MO-R1,2,68
2024-10-01 23:56:43.859000+00:00,unknown,BI-MO-O1B,0,-1
2024-10-01 23:56:43.834000+00:00,CZ,BI-MO-O1,0,72
2024-10-01 23:56:17.308000+00:00,CZ,BI-MO-I1B,0,-1
2024-10-01 23:56:15.587000+00:00,CZ,BI-MO-O1B,0,-1
2024-10-01 23:56:14.879000+00:00,CZ,BI-MO-I1,0,-1
2024-10-01 23:56:11.681000+00:00,unknown,BI-MO-O1B,0,-1
2024-10-01 23:56:11.681000+00:00,CZ,BI-MO-R1,2,50
2024-10-01 23:56:11.655000+00:00,CZ,BI-MO-O1,0,55
2024-10-01 23:55:44.028000+00:00,CZ,BI-MO-O1B,0,-1
2024-10-01 23:55:40.970000+00:00,unknown,BI-MO-R1,1,60
2024-10-01 23:55:40.742000+00:00,unknown,BI-MO-O1B,0,-1
2024-10-01 23:55:40.735000+00:00,CZ,BI-MO-R1,4,60
2024-10-01 23:55:40.655000+00:00,CZ,BI-MO-O1,0,62
2024-10-01 23:55:40.618000+00:00,unknown,BI-MO-O1B,0,-1
2024-10-01 23:55:37.256000+00:00,CZ,BI-MO-I1B,0,-1
2024-10-01 23:55:33.959000+00:00,CZ,BI-MO-I1,0,-1
2024-10-01 23:55:10.472000+00:00,CZ,BI-MO-I1B,0,-1
2024-10-01 23:55:07.299000+00:00,CZ,BI-MO-I1,0,-1
2024-10-01 23:53:25.830000+00:00,D,BI-MO-O1B,0,-1
2024-10-01 23:53:22.315000+00:00,CZ,BI-MO-R1,5,66
2024-10-01 23:53:22.296000+00:00,unknown,BI-MO-O1B,0,-1
2024-10-01 23:53:22.209000+00:00,CZ,BI-MO-O1,0,67
2024-10-01 23:52:55.559000+00:00,CZ,BI-TP-O2B,0,-1
2024-10-01 23:52:54.568000+00:00,D,BI-MO-I1B,0,-1
2024-10-01 23:52:52.585000+00:00,CZ,BI-TP-O2,0,62
2024-10-01 23:52:51.147000+00:00,CZ,BI-MO-I1,0,-1
2024-10-01 23:52:22.266000+00:00,CZ,BI-TP-R2,2,57
2024-10-01 23:52:22.176000+00:00,CZ,BI-TP-I2B,0,-1
2024-10-01 23:52:19.053000+00:00,CZ,BI-TP-I2,0,-1
2024-10-01 23:50:50.953000+00:00,CZ,BI-MO-O1B,0,-1
2024-10-01 23:50:49.093000+00:00,CZ,BI-MO-O1B,0,-1
