_time,country,sensor,type,speed
2024-10-12 23:59:29.222000+00:00,CZ,BI-TP-O2B,0,-1
2024-10-12 23:59:26.759000+00:00,CZ,BI-TP-O2,0,69
2024-10-12 23:58:59.751000+00:00,CZ,BI-TP-R2,1,66
2024-10-12 23:58:59.601000+00:00,CZ,BI-TP-I2B,0,-1
2024-10-12 23:58:56.546000+00:00,CZ,BI-TP-I2,0,-1
2024-10-12 23:57:28.428000+00:00,CZ,BI-TP-O2B,0,-1
2024-10-12 23:57:25.797000+00:00,CZ,BI-TP-O2,0,68
2024-10-12 23:56:58.061000+00:00,CZ,BI-TP-R2,2,67
2024-10-12 23:56:57.958000+00:00,CZ,BI-TP-I2B,0,-1
2024-10-12 23:56:55.274000+00:00,CZ,BI-TP-I2,0,-1
2024-10-12 23:56:50.546000+00:00,CZ,BI-TP-O2B,0,-1
2024-10-12 23:56:47.481000+00:00,CZ,BI-TP-O2,0,64
2024-10-12 23:56:24.045000+00:00,CZ,BI-MO-O1B,0,-1
2024-10-12 23:56:21.194000+00:00,CZ,BI-MO-R1,2,61
2024-10-12 23:56:21.193000+00:00,unknown,BI-MO-O1B,0,-1
2024-10-12 23:56:21.153000+00:00,CZ,BI-MO-O1,0,60
2024-10-12 23:56:18.523000+00:00,unknown,BI-TP-R2,2,57
2024-10-12 23:56:18.464000+00:00,unknown,BI-TP-I1B,0,-1
2024-10-12 23:56:18.340000+00:00,CZ,BI-TP-I2B,0,-1
2024-10-12 23:56:15.222000+00:00,CZ,BI-TP-I2,0,-1
2024-10-12 23:55:50.421000+00:00,CZ,BI-MO-I1B,0,-1
2024-10-12 23:55:46.689000+00:00,CZ,BI-MO-I1,0,-1
2024-10-12 23:54:18.246000+00:00,CZ,BI-MO-O1B,0,-1
2024-10-12 23:54:15.022000+00:00,unknown,BI-MO-O1B,0,-1
2024-10-12 23:54:14.990000+00:00,CZ,BI-MO-R1,1,57
2024-10-12 23:54:14.983000+00:00,CZ,BI-MO-O1,0,61
2024-10-12 23:53:53.508000+00:00,D,BI-MO-O1B,0,-1
2024-10-12 23:53:51.261000+00:00,D,BI-MO-R1,1,74
2024-10-12 23:53:51.214000+00:00,unknown,BI-MO-O1B,0,-1
2024-10-12 23:53:51.175000+00:00,D,BI-MO-O1,0,73
2024-10-12 23:53:43.879000+00:00,CZ,BI-MO-I1B,0,-1
2024-10-12 23:53:40.643000+00:00,CZ,BI-MO-I1,0,-1
2024-10-12 23:53:24.845000+00:00,D,BI-MO-I1B,0,-1
2024-10-12 23:53:22.539000+00:00,D,BI-MO-I1,0,-1
2024-10-12 23:53:03.005000+00:00,CZ,BI-TP-O2B,0,-1
2024-10-12 23:53:00.312000+00:00,CZ,BI-TP-O2,0,62
2024-10-12 23:52:30.046000+00:00,CZ,BI-TP-R2,1,56
2024-10-12 23:52:29.872000+00:00,CZ,BI-TP-I2B,0,-1
