_time,country,sensor,type,speed
2024-08-10 23:59:59.059000+00:00,CZ,BI-TP-I2,0,-1
2024-08-10 23:59:14.878000+00:00,CZ,BI-TP-O2B,0,-1
2024-08-10 23:59:11.744000+00:00,CZ,BI-TP-O2,0,65
2024-08-10 23:58:43.749000+00:00,CZ,BI-TP-I2B,0,-1
2024-08-10 23:58:43.726000+00:00,CZ,BI-TP-R2,5,59
2024-08-10 23:58:41.149000+00:00,CZ,BI-TP-O2B,0,-1
2024-08-10 23:58:39.698000+00:00,CZ,BI-TP-I2,0,-1
2024-08-10 23:58:38.636000+00:00,CZ,BI-TP-O2,0,64
2024-08-10 23:58:09.468000+00:00,CZ,BI-TP-R2,2,62
2024-08-10 23:58:09.401000+00:00,CZ,BI-TP-I2B,0,-1
2024-08-10 23:58:06.280000+00:00,CZ,BI-TP-I2,0,-1
2024-08-10 23:57:48.348000+00:00,CZ,BI-MO-O1B,0,-1
2024-08-10 23:57:43.822000+00:00,unknown,BI-MO-O1B,0,-1
2024-08-10 23:57:43.802000+00:00,CZ,BI-MO-R1,5,52
2024-08-10 23:57:43.777000+00:00,CZ,BI-MO-O1,0,56
2024-08-10 23:57:42.210000+00:00,CZ,BI-MO-O1B,0,-1
2024-08-10 23:57:38.614000+00:00,unknown,BI-MO-O1B,0,-1
2024-08-10 23:57:38.569000+00:00,CZ,BI-MO-R1,1,49
2024-08-10 23:57:38.507000+00:00,CZ,BI-MO-O1,0,-1
2024-08-10 23:57:10.941000+00:00,CZ,BI-MO-I1B,0,-1
2024-08-10 23:57:06.830000+00:00,CZ,BI-MO-I1,0,-1
2024-08-10 23:57:04.430000+00:00,CZ,BI-MO-I1B,0,-1
2024-08-10 23:57:01.374000+00:00,CZ,BI-MO-I1,0,-1
2024-08-10 23:56:35.040000+00:00,CZ,BI-TP-O2B,0,-1
2024-08-10 23:56:32.217000+00:00,CZ,BI-TP-O2,0,63
2024-08-10 23:56:02.255000+00:00,CZ,BI-TP-R2,2,63
2024-08-10 23:56:02.139000+00:00,CZ,BI-TP-I2B,0,-1
2024-08-10 23:55:59.312000+00:00,CZ,BI-TP-I2,0,-1
2024-08-10 23:55:26.281000+00:00,CZ,BI-TP-O2B,0,-1
2024-08-10 23:55:23.024000+00:00,CZ,BI-TP-O2,0,51
2024-08-10 23:55:02.721000+00:00,CZ,BI-TP-O2B,0,-1
2024-08-10 23:54:59.960000+00:00,CZ,BI-TP-O2,0,66
2024-08-10 23:54:50.593000+00:00,CZ,BI-MO-O1B,0,-1
2024-08-10 23:54:48.485000+00:00,CZ,BI-MO-O1B,0,-1
2024-08-10 23:54:47.813000+00:00,CZ,BI-MO-R1,2,64
2024-08-10 23:54:47.803000+00:00,unknown,BI-MO-O1B,0,-1
2024-08-10 23:54:47.758000+00:00,CZ,BI-MO-O1,0,65
2024-08-10 23:54:46.704000+00:00,CZ,BI-TP-R2,4,48
2024-08-10 23:54:46.661000+00:00,CZ,BI-TP-I2B,0,-1
2024-08-10 23:54:45.891000+00:00,CZ,BI-MO-R1,2,66
2024-08-10 23:54:45.881000+00:00,unknown,BI-MO-O1B,0,-1
2024-08-10 23:54:45.774000+00:00,CZ,BI-MO-O1,0,66
2024-08-10 23:54:42.484000+00:00,CZ,BI-TP-I2,0,-1
2024-08-10 23:54:38.441000+00:00,CZ,BI-MO-O1B,0,-1
2024-08-10 23:54:35.785000+00:00,CZ,BI-MO-R1,1,65
2024-08-10 23:54:35.775000+00:00,unknown,BI-MO-O1B,0,-1
2024-08-10 23:54:35.730000+00:00,CZ,BI-MO-O1,0,66
2024-08-10 23:54:31.145000+00:00,CZ,BI-TP-R2,1,64
2024-08-10 23:54:30.975000+00:00,CZ,BI-TP-I2B,0,-1
2024-08-10 23:54:28.224000+00:00,CZ,BI-TP-I2,0,-1
2024-08-10 23:54:18.394000+00:00,CZ,BI-MO-I1B,0,-1
2024-08-10 23:54:16.906000+00:00,CZ,BI-MO-I1B,0,-1
2024-08-10 23:54:15.647000+00:00,CZ,BI-MO-I1,0,-1
2024-08-10 23:54:14.159000+00:00,CZ,BI-MO-I1,0,-1
2024-08-10 23:54:06.862000+00:00,CZ,BI-MO-I1B,0,-1
2024-08-10 23:54:04.115000+00:00,CZ,BI-MO-I1,0,-1
2024-08-10 23:54:03.038000+00:00,CZ,BI-MO-O1B,0,-1
2024-08-10 23:54:00.262000+00:00,CZ,BI-MO-R1,2,63
2024-08-10 23:54:00.248000+00:00,unknown,BI-MO-O1B,0,-1
2024-08-10 23:54:00.199000+00:00,CZ,BI-MO-R1,1,63
2024-08-10 23:54:00.186000+00:00,unknown,BI-MO-O1B,0,-1
2024-08-10 23:54:00.080000+00:00,CZ,BI-MO-O1,0,63
2024-08-10 23:53:55.947000+00:00,CZ,BI-TP-O2B,0,-1
2024-08-10 23:53:53.248000+00:00,CZ,BI-TP-O2,0,61
2024-08-10 23:53:29.661000+00:00,CZ,BI-MO-I1B,0,-1
2024-08-10 23:53:26.915000+00:00,CZ,BI-MO-I1,0,-1
2024-08-10 23:53:22.630000+00:00,CZ,BI-TP-R2,1,59
2024-08-10 23:53:22.589000+00:00,CZ,BI-TP-I2B,0,-1
2024-08-10 23:53:19.403000+00:00,CZ,BI-TP-I2,0,-1
2024-08-10 23:52:57.294000+00:00,CZ,BI-TP-O2B,0,-1
2024-08-10 23:52:54.595000+00:00,CZ,BI-TP-O2,0,66
2024-08-10 23:52:25.784000+00:00,CZ,BI-TP-R2,2,66
2024-08-10 23:52:25.673000+00:00,CZ,BI-TP-I2B,0,-1
2024-08-10 23:52:22.859000+00:00,CZ,BI-TP-I2,0,-1
2024-08-10 23:51:36.345000+00:00,CZ,BI-MO-O1B,0,-1
2024-08-10 23:51:34.733000+00:00,CZ,BI-MO-O1B,0,-1
2024-08-10 23:51:33.307000+00:00,UA,BI-MO-O1B,0,-1
2024-08-10 23:51:32.656000+00:00,CZ,BI-MO-R1,4,54
2024-08-10 23:51:32.625000+00:00,unknown,BI-MO-O1B,0,-1
2024-08-10 23:51:32.580000+00:00,CZ,BI-MO-O1,0,54
2024-08-10 23:51:31.609000+00:00,CZ,BI-MO-R1,1,52
2024-08-10 23:51:31.571000+00:00,unknown,BI-MO-O1B,0,-1
2024-08-10 23:51:31.526000+00:00,CZ,BI-MO-O1,0,-1
2024-08-10 23:51:29.875000+00:00,UA,BI-MO-R1,4,53
2024-08-10 23:51:29.835000+00:00,unknown,BI-MO-O1B,0,-1
2024-08-10 23:51:29.790000+00:00,UA,BI-MO-O1,0,54
2024-08-10 23:50:58.071000+00:00,CZ,BI-MO-I1B,0,-1
2024-08-10 23:50:56.645000+00:00,CZ,BI-MO-I1B,0,-1
2024-08-10 23:50:55.157000+00:00,UA,BI-MO-I1B,0,-1
2024-08-10 23:50:54.270000+00:00,CZ,BI-MO-I1,0,-1
2024-08-10 23:50:53.278000+00:00,CZ,BI-MO-I1,0,-1
2024-08-10 23:50:51.604000+00:00,UA,BI-MO-I1,0,-1
2024-08-10 23:48:30.257000+00:00,CZ,BI-TP-O2B,0,-1
2024-08-10 23:48:27.249000+00:00,CZ,BI-TP-O2,0,61
2024-08-10 23:48:12.239000+00:00,CZ,BI-MO-O1B,0,-1
2024-08-10 23:48:07.876000+00:00,CZ,BI-MO-R1,2,47
2024-08-10 23:48:07.837000+00:00,unknown,BI-MO-O1B,0,-1
2024-08-10 23:48:07.793000+00:00,CZ,BI-MO-O1,0,49
2024-08-10 23:47:56.316000+00:00,CZ,BI-TP-R2,2,60
2024-08-10 23:47:56.283000+00:00,CZ,BI-TP-I2B,0,-1
2024-08-10 23:47:53.094000+00:00,CZ,BI-TP-I2,0,-1
2024-08-10 23:47:35.163000+00:00,CZ,BI-MO-O1B,0,-1
2024-08-10 23:47:31.354000+00:00,CZ,BI-MO-R1,1,49
2024-08-10 23:47:31.319000+00:00,unknown,BI-MO-O1B,0,-1
2024-08-10 23:47:31.275000+00:00,CZ,BI-MO-O1,0,50
2024-08-10 23:47:28.014000+00:00,CZ,BI-MO-I1B,0,-1
2024-08-10 23:47:25.267000+00:00,CZ,BI-MO-I1,0,-1
2024-08-10 23:47:02.340000+00:00,CZ,BI-TP-O2B,0,-1
2024-08-10 23:46:59.642000+00:00,CZ,BI-TP-O2,0,67
2024-08-10 23:46:53.604000+00:00,CZ,BI-MO-I1B,0,-1
2024-08-10 23:46:50.051000+00:00,CZ,BI-MO-I1,0,-1
2024-08-10 23:46:31.618000+00:00,CZ,BI-TP-R2,2,68
2024-08-10 23:46:31.405000+00:00,CZ,BI-TP-I2B,0,-1
2024-08-10 23:46:28.588000+00:00,CZ,BI-TP-I2,0,-1
2024-08-10 23:46:14.910000+00:00,CZ,BI-TP-O2B,0,-1
2024-08-10 23:46:12.274000+00:00,CZ,BI-TP-O2,0,61
2024-08-10 23:45:49.390000+00:00,CZ,BI-MO-O1B,0,-1
2024-08-10 23:45:46.613000+00:00,CZ,BI-MO-R1,1,64
2024-08-10 23:45:46.600000+00:00,unknown,BI-MO-O1B,0,-1
2024-08-10 23:45:46.556000+00:00,CZ,BI-MO-O1,0,66
2024-08-10 23:45:41.739000+00:00,CZ,BI-TP-R2,2,52
2024-08-10 23:45:41.681000+00:00,CZ,BI-TP-I2B,0,-1
2024-08-10 23:45:38.367000+00:00,CZ,BI-TP-I2,0,-1
2024-08-10 23:45:17.565000+00:00,CZ,BI-MO-I1B,0,-1
2024-08-10 23:45:14.818000+00:00,CZ,BI-MO-I1,0,-1
2024-08-10 23:45:01.067000+00:00,CZ,BI-TP-O2B,0,-1
2024-08-10 23:44:57.811000+00:00,CZ,BI-TP-O2,0,58
2024-08-10 23:44:51.667000+00:00,CZ,BI-MO-O1B,0,-1
2024-08-10 23:44:48.361000+00:00,CZ,BI-MO-R1,1,54
2024-08-10 23:44:48.319000+00:00,CZ,BI-MO-O1B,0,-1
2024-08-10 23:44:48.276000+00:00,CZ,BI-MO-O1,0,56
2024-08-10 23:44:45.033000+00:00,unknown,BI-MO-O1B,0,-1
2024-08-10 23:44:44.990000+00:00,CZ,BI-MO-O1,0,52
2024-08-10 23:44:44.987000+00:00,CZ,BI-MO-R1,1,51
2024-08-10 23:44:25.304000+00:00,CZ,BI-TP-R2,2,61
2024-08-10 23:44:25.235000+00:00,CZ,BI-TP-I2B,0,-1
2024-08-10 23:44:22.169000+00:00,CZ,BI-TP-I2,0,-1
2024-08-10 23:44:19.737000+00:00,CZ,BI-MO-O1B,0,-1
2024-08-10 23:44:15.955000+00:00,unknown,BI-MO-O1B,0,-1
2024-08-10 23:44:15.947000+00:00,CZ,BI-MO-R1,1,48
2024-08-10 23:44:15.911000+00:00,CZ,BI-MO-O1,0,58
2024-08-10 23:44:14.387000+00:00,CZ,BI-MO-I1B,0,-1
2024-08-10 23:44:11.454000+00:00,CZ,BI-MO-I1,0,-1
2024-08-10 23:44:08.249000+00:00,CZ,BI-MO-I1B,0,-1
2024-08-10 23:44:04.882000+00:00,CZ,BI-MO-I1,0,-1
2024-08-10 23:43:53.325000+00:00,CZ,BI-MO-O1B,0,-1
2024-08-10 23:43:50.721000+00:00,unknown,BI-MO-O1B,0,-1
2024-08-10 23:43:50.687000+00:00,CZ,BI-MO-R1,2,66
2024-08-10 23:43:50.677000+00:00,CZ,BI-MO-O1,0,67
2024-08-10 23:43:42.953000+00:00,CZ,BI-MO-I1B,0,-1
2024-08-10 23:43:42.785000+00:00,D,BI-MO-O1B,0,-1
2024-08-10 23:43:40.020000+00:00,CZ,BI-MO-I1,0,-1
2024-08-10 23:43:39.499000+00:00,unknown,BI-MO-O1B,0,-1
2024-08-10 23:43:39.487000+00:00,D,BI-MO-R1,2,54
2024-08-10 23:43:39.393000+00:00,D,BI-MO-O1,0,57
2024-08-10 23:43:22.183000+00:00,CZ,BI-MO-I1B,0,-1
2024-08-10 23:43:19.497000+00:00,CZ,BI-MO-I1,0,-1
2024-08-10 23:43:06.063000+00:00,D,BI-MO-I1B,0,-1
2024-08-10 23:43:02.881000+00:00,D,BI-MO-I1,0,-1
2024-08-10 23:42:30.096000+00:00,CZ,BI-TP-O2B,0,-1
2024-08-10 23:42:27.460000+00:00,CZ,BI-TP-O2,0,68
2024-08-10 23:41:59.745000+00:00,CZ,BI-TP-R2,2,68
2024-08-10 23:41:59.597000+00:00,CZ,BI-TP-I2B,0,-1
2024-08-10 23:41:56.963000+00:00,CZ,BI-TP-I2,0,-1
2024-08-10 23:41:25.925000+00:00,CZ,BI-TP-O2B,0,-1
2024-08-10 23:41:23.041000+00:00,CZ,BI-TP-O2,0,67
2024-08-10 23:40:55.010000+00:00,CZ,BI-TP-R2,1,68
2024-08-10 23:40:54.931000+00:00,CZ,BI-TP-I2B,0,-1
2024-08-10 23:40:52.173000+00:00,CZ,BI-TP-I2,0,-1
2024-08-10 23:40:32.629000+00:00,CZ,BI-MO-O1B,0,-1
2024-08-10 23:40:29.715000+00:00,unknown,BI-MO-O1B,0,-1
2024-08-10 23:40:29.703000+00:00,CZ,BI-MO-R1,1,59
2024-08-10 23:40:29.672000+00:00,CZ,BI-MO-O1,0,61
2024-08-10 23:40:07.308000+00:00,CZ,BI-TP-O2B,0,-1
2024-08-10 23:40:04.611000+00:00,CZ,BI-TP-O2,0,65
2024-08-10 23:39:58.884000+00:00,CZ,BI-MO-I1B,0,-1
2024-08-10 23:39:55.826000+00:00,CZ,BI-MO-I1,0,-1
2024-08-10 23:39:46.252000+00:00,CZ,BI-MO-O1B,0,-1
2024-08-10 23:39:43.214000+00:00,unknown,BI-MO-O1B,0,-1
2024-08-10 23:39:43.199000+00:00,CZ,BI-MO-R1,1,60
2024-08-10 23:39:43.110000+00:00,CZ,BI-MO-O1,0,-1
2024-08-10 23:39:35.763000+00:00,CZ,BI-TP-R2,2,61
2024-08-10 23:39:35.695000+00:00,CZ,BI-TP-I2B,0,-1
2024-08-10 23:39:32.564000+00:00,CZ,BI-TP-I2,0,-1
2024-08-10 23:39:13.872000+00:00,CZ,BI-MO-I1B,0,-1
2024-08-10 23:39:12.276000+00:00,CZ,BI-MO-O1B,0,-1
2024-08-10 23:39:11.186000+00:00,CZ,BI-MO-I1,0,-1
2024-08-10 23:39:09.332000+00:00,CZ,BI-MO-R1,2,59
2024-08-10 23:39:09.300000+00:00,unknown,BI-MO-O1B,0,-1
2024-08-10 23:39:09.257000+00:00,CZ,BI-MO-O1,0,59
2024-08-10 23:38:43.049000+00:00,CZ,BI-TP-O2B,0,-1
2024-08-10 23:38:40.290000+00:00,CZ,BI-TP-O2,0,69
2024-08-10 23:38:36.858000+00:00,CZ,BI-MO-I1B,0,-1
2024-08-10 23:38:33.738000+00:00,CZ,BI-MO-I1,0,-1
2024-08-10 23:38:12.767000+00:00,CZ,BI-TP-R2,1,71
2024-08-10 23:38:12.739000+00:00,CZ,BI-TP-I2B,0,-1
2024-08-10 23:38:10.103000+00:00,CZ,BI-TP-I2,0,-1
2024-08-10 23:35:15.099000+00:00,CZ,BI-TP-O2B,0,-1
2024-08-10 23:35:12.341000+00:00,CZ,BI-TP-O2,0,66
2024-08-10 23:34:53.771000+00:00,CZ,BI-TP-O2B,0,-1
2024-08-10 23:34:51.012000+00:00,CZ,BI-TP-O2,0,61
2024-08-10 23:34:43.488000+00:00,CZ,BI-TP-R2,2,65
2024-08-10 23:34:43.365000+00:00,CZ,BI-TP-I2B,0,-1
2024-08-10 23:34:40.603000+00:00,CZ,BI-TP-I2,0,-1
2024-08-10 23:34:20.197000+00:00,CZ,BI-TP-R2,1,59
2024-08-10 23:34:20.115000+00:00,CZ,BI-TP-I2B,0,-1
2024-08-10 23:34:17.043000+00:00,CZ,BI-TP-I2,0,-1
2024-08-10 23:32:48.864000+00:00,CZ,BI-MO-O1B,0,-1
2024-08-10 23:32:45.907000+00:00,CZ,BI-MO-R1,2,62
2024-08-10 23:32:45.888000+00:00,unknown,BI-MO-O1B,0,-1
2024-08-10 23:32:45.785000+00:00,CZ,BI-MO-O1,0,63
2024-08-10 23:32:36.874000+00:00,CZ,BI-TP-O2B,0,-1
2024-08-10 23:32:34.239000+00:00,CZ,BI-TP-O2,0,68
2024-08-10 23:32:29.124000+00:00,CZ,BI-TP-O2B,0,-1
2024-08-10 23:32:26.706000+00:00,CZ,BI-TP-O2B,0,-1
2024-08-10 23:32:26.365000+00:00,CZ,BI-TP-O2,0,67
2024-08-10 23:32:23.141000+00:00,CZ,BI-TP-O2,0,57
2024-08-10 23:32:15.494000+00:00,CZ,BI-MO-I1B,0,-1
2024-08-10 23:32:12.683000+00:00,CZ,BI-MO-I1,0,-1
2024-08-10 23:32:06.307000+00:00,CZ,BI-TP-R2,1,64
2024-08-10 23:32:06.257000+00:00,CZ,BI-TP-I2B,0,-1
2024-08-10 23:32:03.432000+00:00,CZ,BI-TP-I2,0,-1
2024-08-10 23:31:58.059000+00:00,CZ,BI-TP-R2,1,67
2024-08-10 23:31:57.887000+00:00,CZ,BI-TP-I2B,0,-1
2024-08-10 23:31:55.186000+00:00,CZ,BI-TP-I2,0,-1
2024-08-10 23:31:52.940000+00:00,CZ,BI-MO-O1B,0,-1
2024-08-10 23:31:50.748000+00:00,CZ,BI-TP-R2,3,51
2024-08-10 23:31:50.571000+00:00,CZ,BI-TP-I2B,0,-1
2024-08-10 23:31:49.530000+00:00,CZ,BI-MO-R1,1,50
2024-08-10 23:31:49.468000+00:00,unknown,BI-MO-O1B,0,-1
2024-08-10 23:31:49.364000+00:00,CZ,BI-MO-O1,0,54
2024-08-10 23:31:46.506000+00:00,CZ,BI-TP-I2,0,-1
2024-08-10 23:31:33.285000+00:00,CZ,BI-MO-O1B,0,-1
2024-08-10 23:31:29.894000+00:00,CZ,BI-MO-R1,1,53
2024-08-10 23:31:29.875000+00:00,unknown,BI-MO-O1B,0,-1
2024-08-10 23:31:29.834000+00:00,CZ,BI-MO-O1,0,62
2024-08-10 23:31:14.424000+00:00,CZ,BI-MO-I1B,0,-1
2024-08-10 23:31:11.117000+00:00,CZ,BI-MO-I1,0,-1
2024-08-10 23:31:01.021000+00:00,CZ,BI-TP-O2B,0,-1
2024-08-10 23:30:59.048000+00:00,CZ,BI-MO-I1B,0,-1
2024-08-10 23:30:58.077000+00:00,CZ,BI-TP-O2,0,56
2024-08-10 23:30:56.237000+00:00,CZ,BI-MO-I1,0,-1
2024-08-10 23:30:40.833000+00:00,CZ,BI-MO-O1B,0,-1
2024-08-10 23:30:37.981000+00:00,unknown,BI-MO-O1B,0,-1
2024-08-10 23:30:37.968000+00:00,CZ,BI-MO-R1,2,60
