_time,country,sensor,type,speed
2024-09-10 23:59:21.577000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-10 23:59:18.801000+00:00,CZ,BI-MO-R1,1,73
2024-09-10 23:59:18.787000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-10 23:59:18.668000+00:00,CZ,BI-MO-O1,0,67
2024-09-10 23:59:16.617000+00:00,GB,BI-MO-O1B,0,-1
2024-09-10 23:59:13.951000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-10 23:59:13.928000+00:00,GB,BI-MO-R1,1,65
2024-09-10 23:59:13.832000+00:00,GB,BI-MO-O1,0,73
2024-09-10 23:58:51.189000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-10 23:58:47.738000+00:00,CZ,BI-MO-I1,0,-1
2024-09-10 23:58:47.407000+00:00,GB,BI-MO-I1B,0,-1
2024-09-10 23:58:45.196000+00:00,GB,BI-MO-I1,0,-1
2024-09-10 23:58:33.031000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-10 23:58:29.610000+00:00,CZ,BI-MO-R1,2,57
2024-09-10 23:58:29.559000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-10 23:58:29.502000+00:00,CZ,BI-MO-O1,0,66
2024-09-10 23:58:00.907000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-10 23:57:58.138000+00:00,CZ,BI-MO-I1,0,-1
2024-09-10 23:57:50.933000+00:00,UA,BI-MO-O1B,0,-1
2024-09-10 23:57:48.276000+00:00,UA,BI-MO-R1,1,65
2024-09-10 23:57:48.267000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-10 23:57:48.210000+00:00,UA,BI-MO-O1,0,65
2024-09-10 23:57:18.995000+00:00,UA,BI-MO-I1B,0,-1
2024-09-10 23:57:16.164000+00:00,UA,BI-MO-I1,0,-1
2024-09-10 23:54:01.097000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-10 23:53:57.892000+00:00,CZ,BI-MO-R1,5,68
2024-09-10 23:53:57.873000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-10 23:53:57.755000+00:00,CZ,BI-MO-O1,0,68
2024-09-10 23:53:30.462000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-10 23:53:27.136000+00:00,CZ,BI-MO-I1,0,-1
2024-09-10 23:52:36.467000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-10 23:52:32.812000+00:00,CZ,BI-TP-O2,0,57
2024-09-10 23:52:01.427000+00:00,CZ,BI-TP-R2,5,50
2024-09-10 23:52:01.412000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-10 23:51:56.647000+00:00,CZ,BI-TP-I2,0,-1
2024-09-10 23:49:21.166000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-10 23:49:18.441000+00:00,CZ,BI-TP-O2,0,68
2024-09-10 23:48:50.669000+00:00,CZ,BI-TP-R2,1,69
2024-09-10 23:48:50.564000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-10 23:48:47.948000+00:00,CZ,BI-TP-I2,0,-1
2024-09-10 23:46:14.978000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-10 23:46:14.792000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-10 23:46:11.883000+00:00,CZ,BI-TP-O2,0,67
2024-09-10 23:46:11.630000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-10 23:46:11.624000+00:00,CZ,BI-MO-R1,2,57
2024-09-10 23:46:11.576000+00:00,CZ,BI-MO-O1,0,63
2024-09-10 23:45:48.876000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-10 23:45:46.130000+00:00,CZ,BI-MO-R1,2,64
2024-09-10 23:45:46.086000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-10 23:45:46.031000+00:00,CZ,BI-MO-O1,0,66
2024-09-10 23:45:44.333000+00:00,CZ,BI-TP-R2,3,65
2024-09-10 23:45:44.193000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-10 23:45:41.246000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-10 23:45:41.017000+00:00,CZ,BI-TP-I2,0,-1
2024-09-10 23:45:38.292000+00:00,CZ,BI-MO-I1,0,-1
2024-09-10 23:45:17.190000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-10 23:45:14.422000+00:00,CZ,BI-MO-I1,0,-1
2024-09-10 23:44:17.611000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-10 23:44:14.263000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-10 23:44:14.245000+00:00,CZ,BI-MO-R1,2,53
2024-09-10 23:44:14.209000+00:00,CZ,BI-MO-O1,0,56
2024-09-10 23:43:40.222000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-10 23:43:37.144000+00:00,CZ,BI-MO-I1,0,-1
2024-09-10 23:42:56.391000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-10 23:42:53.233000+00:00,CZ,BI-MO-R1,4,64
2024-09-10 23:42:53.229000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-10 23:42:53.175000+00:00,CZ,BI-MO-O1,0,68
2024-09-10 23:42:33.079000+00:00,D,BI-TP-O2B,0,-1
2024-09-10 23:42:29.736000+00:00,D,BI-TP-O2,0,64
2024-09-10 23:42:25.825000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-10 23:42:25.202000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-10 23:42:22.631000+00:00,GB,BI-MO-R1,3,64
2024-09-10 23:42:22.609000+00:00,GB,BI-MO-O1,0,69
2024-09-10 23:42:22.601000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-10 23:42:22.372000+00:00,CZ,BI-MO-I1,0,-1
2024-09-10 23:42:00.574000+00:00,D,BI-TP-R2,1,61
2024-09-10 23:42:00.560000+00:00,D,BI-TP-I2B,0,-1
2024-09-10 23:41:57.444000+00:00,D,BI-TP-I2,0,-1
2024-09-10 23:41:55.132000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-10 23:41:52.426000+00:00,GB,BI-MO-I1,0,-1
2024-09-10 23:41:27.730000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-10 23:41:24.382000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-10 23:41:24.348000+00:00,CZ,BI-MO-R1,5,66
2024-09-10 23:41:24.329000+00:00,CZ,BI-MO-O1,0,68
2024-09-10 23:40:56.976000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-10 23:40:53.898000+00:00,CZ,BI-MO-I1,0,-1
2024-09-10 23:40:48.732000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-10 23:40:45.716000+00:00,CZ,BI-MO-R1,2,60
2024-09-10 23:40:45.694000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-10 23:40:45.640000+00:00,CZ,BI-MO-O1,0,63
2024-09-10 23:40:15.250000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-10 23:40:12.420000+00:00,CZ,BI-MO-I1,0,-1
2024-09-10 23:39:59.628000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-10 23:39:56.603000+00:00,unknown,BI-MO-R1,1,52
2024-09-10 23:39:56.598000+00:00,unknown,BI-MO-O1,0,-1
2024-09-10 23:39:56.590000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-10 23:39:55.854000+00:00,unknown,BI-MO-O1,0,-1
2024-09-10 23:39:55.846000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-10 23:39:55.837000+00:00,unknown,BI-MO-R1,3,52
2024-09-10 23:39:55.603000+00:00,CZ,BI-MO-R1,4,52
2024-09-10 23:39:55.598000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-10 23:39:55.544000+00:00,CZ,BI-MO-O1,0,56
2024-09-10 23:39:54.420000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-10 23:39:51.026000+00:00,CZ,BI-MO-R1,5,55
2024-09-10 23:39:51.010000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-10 23:39:50.956000+00:00,CZ,BI-MO-O1,0,55
2024-09-10 23:39:31.045000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-10 23:39:29.495000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-10 23:39:27.883000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-10 23:39:27.781000+00:00,CZ,BI-MO-R1,1,55
2024-09-10 23:39:27.706000+00:00,CZ,BI-MO-O1,0,56
2024-09-10 23:39:26.219000+00:00,CZ,BI-MO-R1,1,55
2024-09-10 23:39:26.209000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-10 23:39:26.156000+00:00,CZ,BI-MO-O1,0,56
2024-09-10 23:39:24.642000+00:00,CZ,BI-MO-R1,1,55
2024-09-10 23:39:24.597000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-10 23:39:24.544000+00:00,CZ,BI-MO-O1,0,56
