_time,country,sensor,type,speed
2024-09-20 23:59:54.177000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-20 23:59:51.458000+00:00,CZ,BI-MO-I1,0,-1
2024-09-20 23:59:38.305000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-20 23:59:35.214000+00:00,CZ,BI-MO-I1,0,-1
2024-09-20 23:57:24.029000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-20 23:57:20.516000+00:00,CZ,BI-MO-R1,1,62
2024-09-20 23:57:20.497000+00:00,CZ,BI-MO-O1,0,-1
2024-09-20 23:57:20.495000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-20 23:56:51.773000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-20 23:56:48.991000+00:00,CZ,BI-MO-I1,0,-1
2024-09-20 23:56:21.379000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-20 23:56:18.136000+00:00,CZ,BI-TP-O2,0,61
2024-09-20 23:55:47.272000+00:00,CZ,BI-TP-R2,1,64
2024-09-20 23:55:47.214000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-20 23:55:44.304000+00:00,CZ,BI-TP-I2,0,-1
2024-09-20 23:54:41.464000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-20 23:54:39.046000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-20 23:54:39.023000+00:00,CZ,BI-MO-R1,2,70
2024-09-20 23:54:38.987000+00:00,CZ,BI-MO-O1,0,70
2024-09-20 23:54:11.751000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-20 23:54:09.155000+00:00,CZ,BI-MO-I1,0,-1
2024-09-20 23:53:20.276000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-20 23:53:17.467000+00:00,CZ,BI-TP-O2,0,57
2024-09-20 23:53:17.206000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-20 23:53:13.920000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-20 23:53:13.918000+00:00,CZ,BI-MO-R1,2,56
2024-09-20 23:53:13.860000+00:00,CZ,BI-MO-O1,0,60
2024-09-20 23:52:44.238000+00:00,CZ,BI-TP-R2,2,57
2024-09-20 23:52:44.066000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-20 23:52:42.409000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-20 23:52:40.907000+00:00,CZ,BI-TP-I2,0,-1
2024-09-20 23:52:40.223000+00:00,CZ,BI-TP-O2B,0,-1
