_time,country,sensor,type,speed
2024-09-27 23:58:07.204000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-27 23:58:04.352000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-27 23:58:04.296000+00:00,CZ,BI-MO-O1,0,75
2024-09-27 23:58:04.290000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-27 23:58:04.280000+00:00,CZ,BI-MO-R1,5,72
2024-09-27 23:57:39.057000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-27 23:57:36.374000+00:00,CZ,BI-MO-I1,0,-1
2024-09-27 23:53:55.499000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-27 23:53:52.746000+00:00,CZ,BI-TP-O2,0,69
2024-09-27 23:53:25.080000+00:00,CZ,BI-TP-R2,2,70
2024-09-27 23:53:24.962000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-27 23:53:22.474000+00:00,CZ,BI-TP-I2,0,-1
2024-09-27 23:51:39.844000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-27 23:51:37.222000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-27 23:51:36.607000+00:00,CZ,BI-TP-O2,0,53
2024-09-27 23:51:36.124000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-27 23:51:34.325000+00:00,CZ,BI-MO-R1,2,60
2024-09-27 23:51:34.308000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-27 23:51:34.253000+00:00,CZ,BI-MO-O1,0,60
2024-09-27 23:51:33.383000+00:00,CZ,BI-TP-O2,0,64
2024-09-27 23:51:03.894000+00:00,CZ,BI-TP-R2,2,61
2024-09-27 23:51:03.851000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-27 23:51:02.504000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-27 23:51:01.114000+00:00,CZ,BI-TP-R2,2,48
2024-09-27 23:51:01.061000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-27 23:51:00.865000+00:00,CZ,BI-TP-I2,0,-1
2024-09-27 23:50:59.511000+00:00,CZ,BI-MO-I1,0,-1
2024-09-27 23:50:57.269000+00:00,CZ,BI-TP-I2,0,-1
2024-09-27 23:50:00.706000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-27 23:49:57.965000+00:00,CZ,BI-TP-O2,0,66
2024-09-27 23:49:29.479000+00:00,CZ,BI-TP-R2,2,64
2024-09-27 23:49:29.363000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-27 23:49:26.959000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-27 23:49:26.562000+00:00,CZ,BI-TP-I2,0,-1
2024-09-27 23:49:24.433000+00:00,CZ,BI-MO-R1,1,68
