_time,country,sensor,type,speed
2024-10-14 23:58:29.890000+00:00,CZ,BI-MO-O1B,0,-1
2024-10-14 23:58:25.560000+00:00,CZ,BI-MO-O1,0,-1
2024-10-14 23:58:25.541000+00:00,unknown,BI-MO-O1B,0,-1
2024-10-14 23:58:25.515000+00:00,CZ,BI-MO-R1,4,45
2024-10-14 23:57:46.815000+00:00,CZ,BI-MO-I1B,0,-1
2024-10-14 23:57:29.803000+00:00,CZ,BI-TP-O2,0,53
2024-10-14 23:56:54.412000+00:00,CZ,BI-TP-R2,1,51
2024-10-14 23:56:54.407000+00:00,CZ,BI-TP-I2B,0,-1
2024-10-14 23:56:50.852000+00:00,CZ,BI-TP-I2,0,-1
2024-10-14 23:56:18.068000+00:00,CZ,BI-MO-O1B,0,-1
2024-10-14 23:56:14.410000+00:00,unknown,BI-MO-O1B,0,-1
2024-10-14 23:56:14.367000+00:00,unknown,BI-MO-O1,0,-1
2024-10-14 23:56:14.057000+00:00,CZ,BI-MO-O1,0,55
2024-10-14 23:56:14.046000+00:00,CZ,BI-MO-R1,4,52
2024-10-14 23:56:14.038000+00:00,unknown,BI-MO-O1B,0,-1
2024-10-14 23:55:39.839000+00:00,CZ,BI-MO-I1B,0,-1
2024-10-14 23:55:36.321000+00:00,CZ,BI-MO-I1,0,-1
2024-10-14 23:54:59.824000+00:00,CZ,BI-MO-O1B,0,-1
2024-10-14 23:54:57.096000+00:00,unknown,BI-MO-O1B,0,-1
2024-10-14 23:54:57.064000+00:00,CZ,BI-MO-R1,2,64
2024-10-14 23:54:57.002000+00:00,CZ,BI-MO-R1,2,64
2024-10-14 23:54:56.972000+00:00,unknown,BI-MO-O1B,0,-1
2024-10-14 23:54:56.929000+00:00,CZ,BI-MO-O1,0,67
2024-10-14 23:54:28.539000+00:00,CZ,BI-MO-I1B,0,-1
2024-10-14 23:54:25.703000+00:00,CZ,BI-MO-I1,0,-1
2024-10-14 23:53:43.254000+00:00,CZ,BI-MO-O1B,0,-1
2024-10-14 23:53:40.154000+00:00,unknown,BI-MO-O1B,0,-1
2024-10-14 23:53:40.145000+00:00,CZ,BI-MO-R1,1,56
2024-10-14 23:53:40.049000+00:00,CZ,BI-MO-O1,0,58
2024-10-14 23:53:07.381000+00:00,CZ,BI-MO-I1B,0,-1
2024-10-14 23:53:04.483000+00:00,CZ,BI-MO-I1,0,-1
2024-10-14 23:49:45.595000+00:00,CZ,BI-TP-O2B,0,-1
2024-10-14 23:49:42.198000+00:00,CZ,BI-TP-O2,0,56
2024-10-14 23:49:09.645000+00:00,CZ,BI-TP-R2,3,52
