_time,country,sensor,type,speed
2024-09-06 23:59:58.596000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-06 23:59:55.558000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-06 23:59:55.532000+00:00,CZ,BI-MO-R1,2,60
2024-09-06 23:59:55.463000+00:00,CZ,BI-MO-O1,0,61
2024-09-06 23:59:51.466000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-06 23:59:48.366000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-06 23:59:48.331000+00:00,CZ,BI-MO-R1,2,60
2024-09-06 23:59:48.270000+00:00,CZ,BI-MO-O1,0,65
2024-09-06 23:59:43.716000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-06 23:59:40.740000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-06 23:59:40.723000+00:00,CZ,BI-MO-R1,3,60
2024-09-06 23:59:40.520000+00:00,CZ,BI-MO-O1,0,63
2024-09-06 23:59:24.414000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-06 23:59:21.289000+00:00,CZ,BI-MO-I1,0,-1
2024-09-06 23:59:19.020000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-06 23:59:16.205000+00:00,CZ,BI-MO-I1,0,-1
2024-09-06 23:59:10.712000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-06 23:59:07.649000+00:00,CZ,BI-MO-I1,0,-1
2024-09-06 23:58:59.802000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-06 23:58:56.839000+00:00,CZ,BI-TP-O2,0,61
2024-09-06 23:58:39.093000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-06 23:58:36.255000+00:00,CZ,BI-TP-O2,0,63
2024-09-06 23:58:26.522000+00:00,CZ,BI-TP-R2,2,58
2024-09-06 23:58:26.407000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-06 23:58:24.541000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-06 23:58:23.010000+00:00,CZ,BI-TP-I2,0,-1
2024-09-06 23:58:21.441000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-06 23:58:21.414000+00:00,CZ,BI-MO-R1,1,58
2024-09-06 23:58:21.346000+00:00,CZ,BI-MO-O1,0,57
2024-09-06 23:58:06.027000+00:00,CZ,BI-TP-R2,1,61
2024-09-06 23:58:05.947000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-06 23:58:03.046000+00:00,CZ,BI-TP-I2,0,-1
2024-09-06 23:57:48.314000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-06 23:57:45.002000+00:00,CZ,BI-MO-I1,0,-1
2024-09-06 23:57:28.537000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-06 23:57:25.389000+00:00,CZ,BI-TP-O2,0,58
2024-09-06 23:57:21.965000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-06 23:57:20.229000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-06 23:57:19.127000+00:00,CZ,BI-TP-O2,0,65
2024-09-06 23:57:17.515000+00:00,CZ,BI-TP-O2,0,66
2024-09-06 23:56:53.279000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-06 23:56:53.278000+00:00,CZ,BI-TP-R2,1,54
2024-09-06 23:56:53.154000+00:00,CZ,BI-TP-I1B,0,-1
2024-09-06 23:56:50.013000+00:00,CZ,BI-TP-R2,1,64
2024-09-06 23:56:49.998000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-06 23:56:49.842000+00:00,CZ,BI-TP-I2,0,-1
2024-09-06 23:56:49.029000+00:00,CZ,BI-TP-R2,2,64
2024-09-06 23:56:48.952000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-06 23:56:46.971000+00:00,CZ,BI-TP-I2,0,-1
2024-09-06 23:56:45.917000+00:00,CZ,BI-TP-I2,0,-1
2024-09-06 23:56:26.164000+00:00,CH,BI-TP-O2B,0,-1
2024-09-06 23:56:20.956000+00:00,D,BI-TP-O2B,0,-1
2024-09-06 23:56:17.622000+00:00,D,BI-TP-O2,0,54
2024-09-06 23:55:52.949000+00:00,CH,BI-TP-R2,2,54
2024-09-06 23:55:52.896000+00:00,CH,BI-TP-I2B,0,-1
2024-09-06 23:55:43.080000+00:00,D,BI-TP-R2,1,52
2024-09-06 23:55:42.976000+00:00,D,BI-TP-I2B,0,-1
2024-09-06 23:55:39.390000+00:00,D,BI-TP-I2,0,-1
2024-09-06 23:54:49.399000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-06 23:54:49.071000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-06 23:54:46.183000+00:00,CZ,BI-MO-R1,1,59
2024-09-06 23:54:46.175000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-06 23:54:46.081000+00:00,CZ,BI-MO-O1,0,62
2024-09-06 23:54:45.428000+00:00,CZ,BI-TP-O2,0,61
2024-09-06 23:54:23.359000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-06 23:54:20.755000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-06 23:54:20.752000+00:00,CZ,BI-MO-R1,3,78
2024-09-06 23:54:20.580000+00:00,CZ,BI-MO-R1,5,78
2024-09-06 23:54:20.569000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-06 23:54:20.536000+00:00,CZ,BI-MO-O1,0,78
2024-09-06 23:54:15.157000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-06 23:54:15.003000+00:00,CZ,BI-TP-R2,5,69
2024-09-06 23:54:14.874000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-06 23:54:12.341000+00:00,CZ,BI-MO-I1,0,-1
2024-09-06 23:54:11.598000+00:00,CZ,BI-TP-I2,0,-1
2024-09-06 23:53:53.679000+00:00,CZ,BI-MO-I1,0,-1
2024-09-06 23:53:48.949000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-06 23:53:46.150000+00:00,CZ,BI-MO-R1,2,63
2024-09-06 23:53:46.097000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-06 23:53:46.064000+00:00,CZ,BI-MO-O1,0,61
2024-09-06 23:53:31.942000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-06 23:53:29.043000+00:00,CZ,BI-TP-O2,0,71
2024-09-06 23:53:24.645000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-06 23:53:22+00:00,CZ,BI-MO-R1,1,66
2024-09-06 23:53:21.979000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-06 23:53:21.884000+00:00,CZ,BI-MO-O1,0,66
2024-09-06 23:53:15.078000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-06 23:53:11.891000+00:00,CZ,BI-MO-I1,0,-1
2024-09-06 23:53:03.129000+00:00,CZ,BI-TP-R2,5,65
2024-09-06 23:53:02.954000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-06 23:52:59.553000+00:00,CZ,BI-TP-I2,0,-1
2024-09-06 23:52:53.006000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-06 23:52:50.314000+00:00,CZ,BI-MO-I1,0,-1
2024-09-06 23:52:18.348000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-06 23:52:15.077000+00:00,CZ,BI-TP-O2,0,53
2024-09-06 23:51:49.021000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-06 23:51:46.665000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-06 23:51:46.556000+00:00,CZ,BI-TP-O2,0,62
2024-09-06 23:51:43.704000+00:00,CZ,BI-TP-O2,0,64
2024-09-06 23:51:39.399000+00:00,CZ,BI-TP-R2,1,52
2024-09-06 23:51:39.316000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-06 23:51:35.852000+00:00,CZ,BI-TP-I2,0,-1
2024-09-06 23:51:16.128000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-06 23:51:16.123000+00:00,CZ,BI-TP-R2,1,56
2024-09-06 23:51:14.436000+00:00,CZ,BI-TP-R2,2,60
2024-09-06 23:51:14.330000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-06 23:51:12.850000+00:00,CZ,BI-TP-I2,0,-1
2024-09-06 23:51:11.114000+00:00,CZ,BI-TP-I2,0,-1
2024-09-06 23:50:58.509000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-06 23:50:55.050000+00:00,CZ,BI-MO-R1,1,67
2024-09-06 23:50:55.037000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-06 23:50:55.005000+00:00,CZ,BI-MO-O1,0,69
2024-09-06 23:50:27.492000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-06 23:50:24.923000+00:00,CZ,BI-MO-I1,0,-1
2024-09-06 23:50:01.159000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-06 23:49:58.120000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-06 23:49:58.095000+00:00,CZ,BI-MO-R1,2,69
2024-09-06 23:49:58.027000+00:00,CZ,BI-MO-O1,0,-1
2024-09-06 23:49:30.948000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-06 23:49:28.255000+00:00,CZ,BI-MO-I1,0,-1
2024-09-06 23:46:46.229000+00:00,CH,BI-MO-O1B,0,-1
2024-09-06 23:46:42.229000+00:00,CH,BI-MO-O1,0,-1
