"cas","ln_pm100","fitted_pm100","sezona","data_pm100"
2024-02-18 20:00:00,3.17387845893747,2.49716472761028,1,23.9
2024-02-18 21:00:00,3.33967652501391,3.17125951180835,1,28.21
2024-02-18 22:00:00,2.86789890204411,2.91890248631852,1,17.6
2024-02-18 23:00:00,1.94161522477243,2.83488500150665,1,6.97
2024-02-19,2.16561923792089,2.81711268195279,1,8.72
2024-02-19 01:00:00,2.23857976301813,2.41675940620477,1,9.38
2024-02-19 02:00:00,1.87946504964716,2.09541968484634,1,6.55
2024-02-19 03:00:00,2.2554934854602,1.84380007593785,1,9.54
2024-02-19 04:00:00,0.779324876800998,1.77088606651331,1,2.18
2024-02-19 05:00:00,0.970778917158225,2.08452501037823,1,2.64
2024-02-19 06:00:00,-0.162518929497775,1.99819520678503,1,0.85
2024-02-19 07:00:00,-0.941608539858445,2.24150310917949,1,0.39
2024-02-19 08:00:00,-0.7339691750802,2.14968429395329,1,0.48
2024-02-19 09:00:00,-0.891598119283784,1.68704891460043,1,0.41
2024-02-19 10:00:00,-0.0202027073175195,1.40351694719334,1,0.98
2024-02-19 11:00:00,0.231111720963387,1.5517548092583,1,1.26
2024-02-19 12:00:00,-0.693147180559945,1.23079081560911,1,0.5
2024-02-19 13:00:00,-0.162518929497775,1.28871850682201,1,0.85
2024-02-19 14:00:00,-0.446287102628419,1.44072939725881,1,0.64
2024-02-19 15:00:00,-0.105360515657826,1.16421092905016,1,0.9
2024-02-19 16:00:00,0.27763173659828,1.87337564351126,1,1.32
2024-02-19 17:00:00,1.22671229129543,2.69791030696592,1,3.41
2024-02-19 18:00:00,1.91250108692418,2.80908847278271,1,6.77
2024-02-19 19:00:00,2.2554934854602,2.88446528204303,1,9.54
2024-02-19 20:00:00,1.46325540225602,2.42421255952562,1,4.32
2024-02-19 21:00:00,1.28923264827676,2.82079275975919,1,3.63
2024-02-19 22:00:00,1.39376637595859,2.73964080435828,1,4.03
2024-02-19 23:00:00,1.26412672714568,2.64858546421482,1,3.54
2024-02-20,1.1314021114911,2.6976836581742,1,3.1
2024-02-20 01:00:00,1.02604159583327,2.64171470738849,1,2.79
2024-02-20 02:00:00,1.25846098961001,2.4903588507702,1,3.52
2024-02-20 03:00:00,1.45395300959371,2.53006197456752,1,4.28
2024-02-20 04:00:00,1.37371557891303,2.71020529106747,1,3.95
2024-02-20 05:00:00,0.989541193613748,2.62041315386231,1,2.69
2024-02-20 06:00:00,0.732367893713227,2.41516747649106,1,2.08
2024-02-20 07:00:00,1.23547147138531,2.77407366546992,1,3.44
2024-02-20 08:00:00,0.89199803930511,2.52835809279906,1,2.44
2024-02-20 09:00:00,0.412109650826833,2.33843969085974,1,1.51
2024-02-20 10:00:00,0.392042087776024,2.11450059682066,1,1.48
2024-02-20 11:00:00,0.678033542749897,1.92098720812473,1,1.97
2024-02-20 12:00:00,1.09861228866811,2.02318400863918,1,3
2024-02-20 13:00:00,1.41098697371026,1.93801037176858,1,4.1
2024-02-20 14:00:00,1.66013102674962,1.87922662706753,1,5.26
2024-02-20 15:00:00,1.92716410623426,2.38377337909474,1,6.87
2024-02-20 16:00:00,2.04640168760164,2.38474473935785,1,7.74
2024-02-20 17:00:00,2.19165353228676,2.75900897192666,1,8.95
2024-02-20 18:00:00,2.65183252110398,2.77031889016343,1,14.18
2024-02-20 19:00:00,2.44841554120559,2.866136322395,1,11.57
2024-02-20 20:00:00,2.37397508908072,2.59476202657972,1,10.74
2024-02-20 21:00:00,2.37024374146786,2.67392070137701,1,10.7
2024-02-20 22:00:00,2.73760900334375,2.5307831778779,1,15.45
2024-02-20 23:00:00,2.63691217326887,2.56436950340431,1,13.97
2024-02-21,2.27418561847235,2.4515781372198,1,9.72
2024-02-21 01:00:00,2.22028985026722,2.34162310271719,1,9.21
2024-02-21 02:00:00,2.45272775142377,2.45448285538445,1,11.62
2024-02-21 03:00:00,2.29051251175978,2.43251906166371,1,9.88
2024-02-21 04:00:00,2.54866361559075,2.45378600653028,1,12.79
2024-02-21 05:00:00,2.43009841329301,2.42555042375753,1,11.36
2024-02-21 06:00:00,2.54709867004445,2.31918236329793,1,12.77
2024-02-21 07:00:00,2.61006979274201,2.48108900354049,1,13.6
2024-02-21 08:00:00,2.43536620422786,2.34040191649996,1,11.42
