"","datum","typ_datumu","skutecne_hodnoty","fitted_hodnoty","predikovane_hodnoty","predikce_lower","predikce_upper"
"79",2024-01-04 07:00:00,"historie",6.84,9.97548062468724,NA,NA,NA
"80",2024-01-04 08:00:00,"historie",6.26,7.72529869846344,NA,NA,NA
"81",2024-01-04 09:00:00,"historie",4.93,7.45772421766671,NA,NA,NA
"82",2024-01-04 10:00:00,"historie",4.22,7.68958296967861,NA,NA,NA
"83",2024-01-04 11:00:00,"historie",4.17,10.8169943550135,NA,NA,NA
"84",2024-01-04 12:00:00,"historie",4.66,9.24580823964818,NA,NA,NA
"85",2024-01-04 13:00:00,"historie",7.62,7.07006189685766,NA,NA,NA
"86",2024-01-04 14:00:00,"historie",12.74,8.87894434993119,NA,NA,NA
"87",2024-01-04 15:00:00,"historie",17.43,7.09545022460558,NA,NA,NA
"88",2024-01-04 16:00:00,"historie",12.88,6.59576208030746,NA,NA,NA
"89",2024-01-04 17:00:00,"historie",11.79,8.31238336739861,NA,NA,NA
"90",2024-01-04 18:00:00,"historie",12.92,8.27025254420093,NA,NA,NA
"91",2024-01-04 19:00:00,"historie",16.68,8.71413364330429,NA,NA,NA
"92",2024-01-04 20:00:00,"historie",25.93,9.73486381715892,NA,NA,NA
"93",2024-01-04 21:00:00,"historie",20.62,6.91396050727975,NA,NA,NA
"94",2024-01-04 22:00:00,"historie",18.73,6.99180484188363,NA,NA,NA
"95",2024-01-04 23:00:00,"historie",18.34,5.74894714661972,NA,NA,NA
"96",2024-01-05,"historie",14.29,5.11860584838946,NA,NA,NA
"97",2024-01-05 01:00:00,"historie",14.95,5.05812495259176,NA,NA,NA
"98",2024-01-05 02:00:00,"historie",12.9,5.5642473812544,NA,NA,NA
"99",2024-01-05 03:00:00,"historie",14.35,9.90499091560402,NA,NA,NA
"100",2024-01-05 04:00:00,"historie",13.55,13.2630865131144,NA,NA,NA
"101",2024-01-05 05:00:00,"historie",14.5,18.2926855318775,NA,NA,NA
"102",2024-01-05 06:00:00,"historie",16.19,11.4590964873998,NA,NA,NA
"103",2024-01-05 07:00:00,"historie",21.47,13.8276626475849,NA,NA,NA
"104",2024-01-05 08:00:00,"historie",23.03,12.1321241117939,NA,NA,NA
"105",2024-01-05 09:00:00,"historie",20.24,17.2029628870894,NA,NA,NA
"106",2024-01-05 10:00:00,"historie",21.51,22.8510587749081,NA,NA,NA
"107",2024-01-05 11:00:00,"historie",24.11,18.4372213076689,NA,NA,NA
"108",2024-01-05 12:00:00,"historie",25.55,15.640924422008,NA,NA,NA
"109",2024-01-05 13:00:00,"historie",21.15,16.5339927981382,NA,NA,NA
"110",2024-01-05 14:00:00,"historie",15.54,11.5511957172217,NA,NA,NA
"111",2024-01-05 15:00:00,"historie",25.66,15.1444820439938,NA,NA,NA
"112",2024-01-05 16:00:00,"historie",25.48,11.05357202388,NA,NA,NA
"113",2024-01-05 17:00:00,"historie",27.95,14.2222554282937,NA,NA,NA
"114",2024-01-05 18:00:00,"historie",29.87,14.1924968373461,NA,NA,NA
"115",2024-01-05 19:00:00,"historie",26.09,14.5550805775268,NA,NA,NA
