"cas","ln_no2","fitted_no2","sezona","data_no2"
2024-01-04 19:00:00,2.8142103969306,2.91151104747948,1,16.68
2024-01-04 20:00:00,3.25540059955057,3.03740558486039,1,25.93
2024-01-04 21:00:00,3.02626147858881,2.99274868630574,1,20.62
2024-01-04 22:00:00,2.930126516456,2.93359371412919,1,18.73
2024-01-04 23:00:00,2.90908446682832,2.85150794453792,1,18.34
2024-01-05,2.65955999194178,2.82381311407191,1,14.29
2024-01-05 01:00:00,2.7047112998367,2.81637540267268,1,14.95
2024-01-05 02:00:00,2.55722731136763,2.80132256074548,1,12.9
2024-01-05 03:00:00,2.66374994220563,2.80618820297247,1,14.35
2024-01-05 04:00:00,2.60638654732571,2.82274305999003,1,13.55
2024-01-05 05:00:00,2.67414864942653,2.83331077587793,1,14.5
2024-01-05 06:00:00,2.78439376768954,3.02330981910031,1,16.19
2024-01-05 07:00:00,3.06665661189069,3.00856117181741,1,21.47
2024-01-05 08:00:00,3.13679771383259,3.05612600421852,1,23.03
2024-01-05 09:00:00,3.00766084441926,2.98888498618853,1,20.24
2024-01-05 10:00:00,3.06851794327964,2.83034178205559,1,21.51
2024-01-05 11:00:00,3.18262669219308,2.73183957008566,1,24.11
2024-01-05 12:00:00,3.24063731664971,2.71139894194296,1,25.55
2024-01-05 13:00:00,3.05163990549229,2.77282589208744,1,21.15
2024-01-05 14:00:00,2.7434173449395,2.8964484330688,1,15.54
2024-01-05 15:00:00,3.24493335918749,3.14193352032177,1,25.66
2024-01-05 16:00:00,3.23789383070396,3.2701254035362,1,25.48
2024-01-05 17:00:00,3.33041719960111,3.39894649600404,1,27.95
2024-01-05 18:00:00,3.39685463222802,3.38230606741791,1,29.87
2024-01-05 19:00:00,3.26155209914864,3.33441380532239,1,26.09
2024-01-05 20:00:00,3.20680324363393,3.1911866919278,1,24.7
2024-01-05 21:00:00,3.18262669219308,3.02271366710512,1,24.11
2024-01-05 22:00:00,2.94811641961233,3.07792508927133,1,19.07
