_time,country,sensor,type,speed
2024-09-22 23:57:52.574000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-22 23:57:49.908000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-22 23:57:49.890000+00:00,CZ,BI-MO-R1,1,63
2024-09-22 23:57:49.820000+00:00,CZ,BI-MO-O1,0,62
2024-09-22 23:57:41.290000+00:00,D,BI-MO-O1B,0,-1
2024-09-22 23:57:38.500000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-22 23:57:38.455000+00:00,D,BI-MO-R1,2,63
2024-09-22 23:57:38.412000+00:00,D,BI-MO-O1,0,-1
2024-09-22 23:57:19.485000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-22 23:57:16.523000+00:00,CZ,BI-MO-I1,0,-1
2024-09-22 23:57:09.379000+00:00,D,BI-MO-I1B,0,-1
2024-09-22 23:57:06.417000+00:00,D,BI-MO-I1,0,-1
2024-09-22 23:57:00.372000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-22 23:56:57.735000+00:00,CZ,BI-TP-O2,0,69
2024-09-22 23:56:51.504000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-22 23:56:48.810000+00:00,CZ,BI-MO-R1,1,68
2024-09-22 23:56:48.776000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-22 23:56:48.750000+00:00,CZ,BI-MO-O1,0,71
2024-09-22 23:56:36.192000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-22 23:56:32.997000+00:00,CZ,BI-TP-O2,0,64
2024-09-22 23:56:30.221000+00:00,CZ,BI-TP-R2,2,68
2024-09-22 23:56:30.079000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-22 23:56:27.427000+00:00,CZ,BI-TP-I2,0,-1
2024-09-22 23:56:22.011000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-22 23:56:19.483000+00:00,CZ,BI-MO-I1,0,-1
2024-09-22 23:56:04.274000+00:00,CZ,BI-TP-R2,5,63
2024-09-22 23:56:04.163000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-22 23:56:00.704000+00:00,CZ,BI-TP-I2,0,-1
2024-09-22 23:55:42.622000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-22 23:55:39.584000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-22 23:55:39.545000+00:00,CZ,BI-MO-R1,2,60
2024-09-22 23:55:39.434000+00:00,CZ,BI-MO-O1,0,64
2024-09-22 23:55:09.595000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-22 23:55:06.708000+00:00,CZ,BI-MO-I1,0,-1
2024-09-22 23:54:08.877000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-22 23:54:05.568000+00:00,CZ,BI-MO-R1,4,60
2024-09-22 23:54:05.529000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-22 23:54:05.467000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-22 23:54:05.443000+00:00,CZ,BI-MO-R1,4,60
2024-09-22 23:54:05.441000+00:00,CZ,BI-MO-O1,0,-1
2024-09-22 23:53:52.261000+00:00,D,BI-MO-O1B,0,-1
2024-09-22 23:53:49.099000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-22 23:53:49.071000+00:00,D,BI-MO-R1,5,69
2024-09-22 23:53:49.011000+00:00,D,BI-MO-O1,0,69
2024-09-22 23:53:36.719000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-22 23:53:33.881000+00:00,CZ,BI-MO-I1,0,-1
2024-09-22 23:53:22.087000+00:00,D,BI-MO-I1B,0,-1
2024-09-22 23:53:18.815000+00:00,D,BI-MO-I1,0,-1
2024-09-22 23:51:21.415000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-22 23:51:18.501000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-22 23:51:18.451000+00:00,CZ,BI-MO-R1,1,59
2024-09-22 23:51:18.413000+00:00,CZ,BI-MO-O1,0,61
2024-09-22 23:50:47.273000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-22 23:50:44.249000+00:00,CZ,BI-MO-I1,0,-1
2024-09-22 23:49:58.335000+00:00,UA,BI-TP-O2B,0,-1
2024-09-22 23:49:55.203000+00:00,UA,BI-TP-O2,0,55
2024-09-22 23:49:33.349000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-22 23:49:30.527000+00:00,CZ,BI-TP-O2,0,63
2024-09-22 23:49:29.504000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-22 23:49:25.350000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-22 23:49:25.321000+00:00,CZ,BI-MO-R1,1,42
2024-09-22 23:49:25.262000+00:00,CZ,BI-MO-O1,0,61
2024-09-22 23:49:22.809000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-22 23:49:21.650000+00:00,UA,BI-TP-R2,2,48
2024-09-22 23:49:21.475000+00:00,UA,BI-TP-I2B,0,-1
2024-09-22 23:49:20.173000+00:00,CZ,BI-TP-O2,0,63
2024-09-22 23:49:17.330000+00:00,UA,BI-TP-I2,0,-1
2024-09-22 23:49:13.261000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-22 23:49:10.377000+00:00,CZ,BI-TP-O2,0,64
2024-09-22 23:49:00.639000+00:00,CZ,BI-TP-R2,2,60
2024-09-22 23:49:00.519000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-22 23:48:57.490000+00:00,CZ,BI-TP-I2,0,-1
2024-09-22 23:48:53.688000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-22 23:48:50.913000+00:00,CZ,BI-MO-I1,0,-1
2024-09-22 23:48:50.314000+00:00,CZ,BI-TP-R2,1,62
2024-09-22 23:48:50.165000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-22 23:48:47.322000+00:00,CZ,BI-TP-I2,0,-1
2024-09-22 23:48:40.675000+00:00,CZ,BI-TP-R2,1,63
2024-09-22 23:48:40.617000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-22 23:48:37.712000+00:00,CZ,BI-TP-I2,0,-1
2024-09-22 23:48:30.171000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-22 23:48:27.163000+00:00,CZ,BI-TP-O2,0,62
2024-09-22 23:48:07.479000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-22 23:48:06.301000+00:00,CZ,BI-TP-O1B,0,-1
2024-09-22 23:48:04.347000+00:00,CZ,BI-TP-O2,0,68
2024-09-22 23:48:03.789000+00:00,CZ,BI-TP-O1,0,-1
2024-09-22 23:47:56.795000+00:00,CZ,BI-TP-R2,2,61
2024-09-22 23:47:56.660000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-22 23:47:53.878000+00:00,CZ,BI-TP-I2,0,-1
2024-09-22 23:47:37.799000+00:00,CZ,BI-TP-R1,1,75
2024-09-22 23:47:37.502000+00:00,CZ,BI-TP-I1B,0,-1
2024-09-22 23:47:37.221000+00:00,CZ,BI-TP-R2,5,68
2024-09-22 23:47:37.068000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-22 23:47:35.278000+00:00,CZ,BI-TP-I2,0,-1
2024-09-22 23:47:33.852000+00:00,CZ,BI-TP-I2,0,-1
2024-09-22 23:46:54.379000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-22 23:46:51.607000+00:00,unknown,BI-MO-R1,2,58
2024-09-22 23:46:51.589000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-22 23:46:51.564000+00:00,unknown,BI-MO-O1,0,-1
2024-09-22 23:46:50.597000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-22 23:46:50.561000+00:00,CZ,BI-MO-R1,5,58
2024-09-22 23:46:50.510000+00:00,CZ,BI-MO-O1,0,61
2024-09-22 23:46:32.059000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-22 23:46:28.269000+00:00,CZ,BI-MO-R1,1,46
2024-09-22 23:46:28.215000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-22 23:46:28.128000+00:00,CZ,BI-MO-O1,0,57
2024-09-22 23:46:20.052000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-22 23:46:16.657000+00:00,CZ,BI-MO-I1,0,-1
2024-09-22 23:46:13.522000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-22 23:46:09.213000+00:00,CZ,BI-TP-O2,0,40
2024-09-22 23:45:54.880000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-22 23:45:51.795000+00:00,CZ,BI-MO-I1,0,-1
2024-09-22 23:45:21.316000+00:00,CZ,BI-TP-R2,2,48
2024-09-22 23:45:21.165000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-22 23:45:17.823000+00:00,CZ,BI-TP-I2,0,-1
2024-09-22 23:45:07.987000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-22 23:45:05.226000+00:00,CZ,BI-MO-R1,2,64
2024-09-22 23:45:05.197000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-22 23:45:05.109000+00:00,CZ,BI-MO-O1,0,-1
2024-09-22 23:45:00.051000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-22 23:44:57.230000+00:00,CZ,BI-TP-O2,0,64
2024-09-22 23:44:34.962000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-22 23:44:32.125000+00:00,CZ,BI-MO-I1,0,-1
2024-09-22 23:44:27.844000+00:00,CZ,BI-TP-R2,2,60
2024-09-22 23:44:27.721000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-22 23:44:24.689000+00:00,CZ,BI-TP-I2,0,-1
2024-09-22 23:43:59.910000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-22 23:43:57.306000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-22 23:43:57.258000+00:00,CZ,BI-MO-R1,1,65
2024-09-22 23:43:57.219000+00:00,CZ,BI-MO-O1,0,63
2024-09-22 23:43:46.580000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-22 23:43:44.038000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-22 23:43:44.026000+00:00,CZ,BI-MO-R1,1,70
2024-09-22 23:43:43.951000+00:00,CZ,BI-MO-O1,0,70
2024-09-22 23:43:26.948000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-22 23:43:24.049000+00:00,CZ,BI-MO-I1,0,-1
2024-09-22 23:43:16.904000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-22 23:43:14.315000+00:00,CZ,BI-MO-I1,0,-1
2024-09-22 23:43:01.196000+00:00,D,BI-MO-O1B,0,-1
2024-09-22 23:42:58.350000+00:00,D,BI-MO-R1,2,63
2024-09-22 23:42:58.344000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-22 23:42:58.257000+00:00,D,BI-MO-O1,0,63
2024-09-22 23:42:57.476000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-22 23:42:54.335000+00:00,CZ,BI-MO-R1,2,57
2024-09-22 23:42:54.314000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-22 23:42:54.289000+00:00,CZ,BI-MO-O1,0,59
2024-09-22 23:42:28.358000+00:00,D,BI-MO-I1B,0,-1
2024-09-22 23:42:25.459000+00:00,D,BI-MO-I1,0,-1
2024-09-22 23:42:22.158000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-22 23:42:19.135000+00:00,CZ,BI-MO-I1,0,-1
2024-09-22 23:42:11.906000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-22 23:42:09.612000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-22 23:42:08.962000+00:00,CZ,BI-TP-O2,0,59
2024-09-22 23:42:04.472000+00:00,CZ,BI-MO-R1,2,42
2024-09-22 23:42:04.466000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-22 23:42:04.379000+00:00,CZ,BI-MO-O1,0,-1
2024-09-22 23:41:37.025000+00:00,CZ,BI-TP-R2,2,54
2024-09-22 23:41:36.974000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-22 23:41:33.506000+00:00,CZ,BI-TP-I2,0,-1
2024-09-22 23:41:26.606000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-22 23:41:22.343000+00:00,CZ,BI-MO-I1,0,-1
2024-09-22 23:41:18.524000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-22 23:41:15.655000+00:00,CZ,BI-MO-R1,1,63
2024-09-22 23:41:15.610000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-22 23:41:15.585000+00:00,CZ,BI-MO-O1,0,63
2024-09-22 23:40:45.375000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-22 23:40:42.415000+00:00,CZ,BI-MO-I1,0,-1
2024-09-22 23:40:21.049000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-22 23:40:18.383000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-22 23:40:18.372000+00:00,CZ,BI-MO-R1,1,66
2024-09-22 23:40:18.296000+00:00,CZ,BI-MO-O1,0,69
2024-09-22 23:39:50.443000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-22 23:39:47.979000+00:00,CZ,BI-MO-I1,0,-1
2024-09-22 23:39:36.037000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-22 23:39:33.382000+00:00,CZ,BI-MO-R1,1,67
2024-09-22 23:39:33.371000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-22 23:39:33.284000+00:00,CZ,BI-MO-O1,0,65
2024-09-22 23:39:32.441000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-22 23:39:29.465000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-22 23:39:29.446000+00:00,CZ,BI-MO-R1,5,68
2024-09-22 23:39:29.316000+00:00,CZ,BI-MO-O1,0,68
2024-09-22 23:39:03.819000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-22 23:39:01.773000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-22 23:39:01.045000+00:00,CZ,BI-MO-I1,0,-1
2024-09-22 23:38:58.689000+00:00,CZ,BI-MO-I1,0,-1
2024-09-22 23:38:36.207000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-22 23:38:33.355000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-22 23:38:33.318000+00:00,CZ,BI-MO-R1,1,60
2024-09-22 23:38:33.268000+00:00,CZ,BI-MO-O1,0,60
2024-09-22 23:38:01.633000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-22 23:37:58.673000+00:00,CZ,BI-MO-I1,0,-1
2024-09-22 23:36:00.214000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-22 23:35:57.184000+00:00,CZ,BI-MO-R1,2,58
2024-09-22 23:35:57.176000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-22 23:35:57.151000+00:00,CZ,BI-MO-O1,0,63
2024-09-22 23:35:30.640000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-22 23:35:27.912000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-22 23:35:27.860000+00:00,CZ,BI-MO-R1,1,66
2024-09-22 23:35:27.825000+00:00,CZ,BI-MO-O1,0,66
2024-09-22 23:35:26.199000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-22 23:35:23.921000+00:00,CZ,BI-MO-I1,0,-1
2024-09-22 23:34:59.229000+00:00,CZ,BI-MO-I1B,0,-1
2024-09-22 23:34:56.517000+00:00,CZ,BI-MO-I1,0,-1
2024-09-22 23:33:07.976000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-22 23:33:05.468000+00:00,CZ,BI-TP-O2,0,68
2024-09-22 23:32:55.886000+00:00,CZ,BI-TP-O2B,0,-1
2024-09-22 23:32:53.068000+00:00,CZ,BI-TP-O2,0,66
2024-09-22 23:32:37.840000+00:00,CZ,BI-TP-R2,1,67
2024-09-22 23:32:37.701000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-22 23:32:35.034000+00:00,CZ,BI-TP-I2,0,-1
2024-09-22 23:32:24.495000+00:00,unknown,BI-TP-I2B,0,-1
2024-09-22 23:32:24.202000+00:00,unknown,BI-TP-R2,2,65
2024-09-22 23:32:24.123000+00:00,CZ,BI-TP-I2B,0,-1
2024-09-22 23:32:21.332000+00:00,CZ,BI-TP-I2,0,-1
2024-09-22 23:32:19.803000+00:00,CZ,BI-MO-O1B,0,-1
2024-09-22 23:32:15.959000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-22 23:32:15.954000+00:00,CZ,BI-MO-R1,3,55
2024-09-22 23:32:15.934000+00:00,CZ,BI-MO-O1,0,56
2024-09-22 23:31:47.315000+00:00,D,BI-MO-O1B,0,-1
2024-09-22 23:31:44.602000+00:00,D,BI-MO-R1,1,65
2024-09-22 23:31:44.587000+00:00,unknown,BI-MO-O1B,0,-1
2024-09-22 23:31:44.562000+00:00,D,BI-MO-O1,0,65
2024-09-22 23:31:42.874000+00:00,CZ,BI-MO-I1B,0,-1
