"hour","data_pm10","data_pm25","data_pm40","data_pm100","data_no2"
2024-01-01,32.95,45.675,49.4,51.275,14.81083
2024-01-01 01:00:00,32.3333333333333,45.1025641025641,49.0769230769231,50.974358974359,19.3363736842105
2024-01-01 02:00:00,33.2820512820513,46.2564102564103,50.0512820512821,51.9487179487179,18.215285
2024-01-01 03:00:00,33.7179487179487,47.4871794871795,51.5128205128205,53.2820512820513,15.4929947368421
2024-01-01 04:00:00,29.2,41.175,44.975,48.05,15.35317
2024-01-01 05:00:00,24.8157894736842,35.3157894736842,42,50.5,16.8941105263158
2024-01-01 06:00:00,25.1282051282051,36.2564102564103,41.6923076923077,49.7179487179487,12.137451
2024-01-01 07:00:00,28.1794871794872,40.6153846153846,44.7692307692308,47.7692307692308,13.3016421052632
2024-01-01 08:00:00,25.1282051282051,35.6666666666667,38.6923076923077,41.2820512820513,11.664706
2024-01-01 09:00:00,26.3076923076923,36.9230769230769,39.7435897435897,41.3589743589744,11.7374694736842
2024-01-01 10:00:00,27.5,39.6578947368421,42.8947368421053,44.5789473684211,11.48165
2024-01-01 11:00:00,5.94871794871795,8.87179487179487,9.2051282051282,9.87179487179487,4.04181210526316
2024-01-01 12:00:00,2.675,4.375,4.575,5.075,3.604588
2024-01-01 13:00:00,3.78947368421053,5.78947368421053,6.15789473684211,6.52631578947368,4.40847421052632
2024-01-01 14:00:00,2.325,4.275,4.725,5.55,4.174064
2024-01-01 15:00:00,2.79487179487179,5.02564102564103,5.53846153846154,6.07692307692308,5.01705842105263
2024-01-01 16:00:00,2.35897435897436,4.43589743589744,4.94871794871795,5.30769230769231,6.416828
2024-01-01 17:00:00,2.25641025641026,4.20512820512821,4.94871794871795,5.64102564102564,9.71972947368421
2024-01-01 18:00:00,2,3.675,4,4.45,11.50699
2024-01-01 19:00:00,2.87179487179487,4.82051282051282,5.1025641025641,5.46153846153846,9.12712947368421
2024-01-01 20:00:00,2.07692307692308,3.76923076923077,4.02564102564103,4.43589743589744,6.885886
2024-01-01 21:00:00,1.28205128205128,2.71794871794872,3.07692307692308,3.58974358974359,9.08765684210526
2024-01-01 22:00:00,2.66666666666667,4.88888888888889,5.63888888888889,6.47222222222222,9.47408611111111
2024-01-01 23:00:00,2.68421052631579,4.97368421052632,5.94736842105263,6.92105263157895,9.72676210526316
2024-01-02,4.775,7.875,8.875,10.3,10.0399525
2024-01-02 01:00:00,3.43589743589744,5.82051282051282,6.74358974358974,7.51282051282051,12.0016652631579
2024-01-02 02:00:00,5.85,9.075,10.2,11.3,14.3964
2024-01-02 03:00:00,7.15789473684211,10.6578947368421,11.5,12.9736842105263,19.9193210526316
2024-01-02 04:00:00,7.85,11.6,12.775,13.525,29.138385
2024-01-02 05:00:00,9.94871794871795,14.1538461538462,15.7948717948718,16.8717948717949,31.4833526315789
2024-01-02 06:00:00,11.1578947368421,16.1315789473684,17.7105263157895,18.9210526315789,32.534275
2024-01-02 07:00:00,6.35897435897436,9.64102564102564,10.5128205128205,11.7692307692308,11.3118473684211
2024-01-02 08:00:00,1.95,3.675,4,4.4,9.311553
2024-01-02 09:00:00,2.02564102564103,3.66666666666667,3.79487179487179,4.05128205128205,8.93972526315789
2024-01-02 10:00:00,0.564102564102564,1.56410256410256,1.64102564102564,1.74358974358974,8.208439
2024-01-02 11:00:00,1.15384615384615,2.1025641025641,2.12820512820513,2.15384615384615,8.69164578947368
2024-01-02 12:00:00,0.85,1.725,1.75,1.825,9.025342
2024-01-02 13:00:00,1.26315789473684,2.31578947368421,2.31578947368421,2.52631578947368,10.0616052631579
2024-01-02 14:00:00,2.65,4.225,4.3,4.4,14.66043
2024-01-02 15:00:00,5.46153846153846,7.69230769230769,8.02564102564103,8.33333333333333,26.1026842105263
2024-01-02 16:00:00,12.5384615384615,16.6410256410256,17.3076923076923,18.2820512820513,22.552595
2024-01-02 17:00:00,15.4871794871795,20.5384615384615,21.4871794871795,22.4871794871795,43.1913052631579
2024-01-02 18:00:00,13.55,18.325,19.175,19.95,26.050165
2024-01-02 19:00:00,17.1315789473684,24.5789473684211,26.5263157894737,27.6052631578947,30.4396526315789
2024-01-02 20:00:00,19.25,27.9166666666667,30.9166666666667,32.4444444444444,25.24
2024-01-02 21:00:00,21.4358974358974,30.4102564102564,33.3333333333333,34.8717948717949,32.2345473684211
2024-01-02 22:00:00,22.8285714285714,31.3142857142857,33.5142857142857,34.7714285714286,32.2715
2024-01-02 23:00:00,19.4358974358974,26.6923076923077,28.3846153846154,29.6923076923077,26.1262073684211
2024-01-03,4.075,6.375,6.85,7.075,17.8928585
2024-01-03 01:00:00,10.7105263157895,14.8947368421053,15.7894736842105,16.4473684210526,16.7066494736842
2024-01-03 02:00:00,2.225,3.725,3.9,4,5.6351655
2024-01-03 03:00:00,0.743589743589744,1.53846153846154,1.53846153846154,1.66666666666667,4.21602
2024-01-03 04:00:00,1.925,2.95,2.975,3.1,4.2695485
2024-01-03 05:00:00,0.25,1,1,1.125,3.162015
2024-01-03 06:00:00,1.41176470588235,2.52941176470588,2.76470588235294,3.14705882352941,4.56205941176471
2024-01-03 07:00:00,1.79487179487179,3.1025641025641,3.25641025641026,3.43589743589744,4.76700789473684
2024-01-03 08:00:00,0.769230769230769,2.05128205128205,2.17948717948718,2.53846153846154,4.3620195
2024-01-03 09:00:00,0.564102564102564,1.87179487179487,1.97435897435897,2.33333333333333,4.29747210526316
2024-01-03 10:00:00,1.20512820512821,2.82051282051282,3.1025641025641,3.58974358974359,4.171191
2024-01-03 11:00:00,0.974358974358974,2.53846153846154,2.71794871794872,3.05128205128205,6.55783105263158
2024-01-03 12:00:00,0.35,1.275,1.325,1.525,5.4737555
2024-01-03 13:00:00,1,2.17948717948718,2.33333333333333,2.53846153846154,7.56801947368421
2024-01-03 14:00:00,0.710526315789474,1.71052631578947,1.71052631578947,1.86842105263158,7.00492526315789
2024-01-03 15:00:00,1.025,2.4,2.475,2.85,8.045697
2024-01-03 16:00:00,1.87179487179487,3.46153846153846,3.61538461538462,3.84615384615385,7.09910631578947
2024-01-03 17:00:00,1.02564102564103,2.30769230769231,2.43589743589744,2.66666666666667,7.0807555
2024-01-03 18:00:00,0.435897435897436,1.38461538461538,1.41025641025641,1.58974358974359,6.00913947368421
2024-01-03 19:00:00,0.625,1.5,1.5,1.55,6.7981735
2024-01-03 20:00:00,0.921052631578947,1.92105263157895,1.92105263157895,1.97368421052632,8.51532894736842
2024-01-03 21:00:00,1.025,2.275,2.3,2.525,8.708612
2024-01-03 22:00:00,1,2.19444444444444,2.25,2.36111111111111,6.63833666666667
