"","X","cas","valid_speed_count","den_v_tydnu","data_pm100","data_no2","data_temp1","data_hum1","data_pressure","data_windSpeed","data_windImpact","data_volumeMm","month","tretina_dne","letni_prazdniny","topna_sezona","statni_svatky","datum","prumerna_teplota_dne"
"1",1,2024-01-01 01:00:00,178,1,51.27,14.81,NA,NA,NA,NA,NA,NA,"01/2024","1",0,1,1,2024-01-01,NA
"2",2,2024-01-01 02:00:00,152,1,50.97,19.34,NA,NA,NA,NA,NA,NA,"01/2024","1",0,1,1,2024-01-01,NA
"3",3,2024-01-01 03:00:00,90,1,51.95,18.22,NA,NA,NA,NA,NA,NA,"01/2024","1",0,1,1,2024-01-01,NA
"4",4,2024-01-01 04:00:00,134,1,53.28,15.49,NA,NA,NA,NA,NA,NA,"01/2024","1",0,1,1,2024-01-01,NA
"5",5,2024-01-01 05:00:00,212,1,48.05,15.35,NA,NA,NA,NA,NA,NA,"01/2024","1",0,1,1,2024-01-01,NA
"6",6,2024-01-01 06:00:00,102,1,50.5,16.89,NA,NA,NA,NA,NA,NA,"01/2024","1",0,1,1,2024-01-01,NA
"7",7,2024-01-01 07:00:00,136,1,49.72,12.14,NA,NA,NA,NA,NA,NA,"01/2024","1",0,1,1,2024-01-01,NA
"8",8,2024-01-01 08:00:00,127,1,47.77,13.3,NA,NA,NA,NA,NA,NA,"01/2024","2",0,1,1,2024-01-01,NA
"9",9,2024-01-01 09:00:00,273,1,41.28,11.66,NA,NA,NA,NA,NA,NA,"01/2024","2",0,1,1,2024-01-01,NA
"10",10,2024-01-01 10:00:00,543,1,41.36,11.74,NA,NA,NA,NA,NA,NA,"01/2024","2",0,1,1,2024-01-01,NA
"11",11,2024-01-01 11:00:00,745,1,44.58,11.48,NA,NA,NA,NA,NA,NA,"01/2024","2",0,1,1,2024-01-01,NA
"12",12,2024-01-01 12:00:00,1018,1,9.87,4.04,NA,NA,NA,NA,NA,NA,"01/2024","2",0,1,1,2024-01-01,NA
"13",13,2024-01-01 13:00:00,1235,1,5.08,3.6,NA,NA,NA,NA,NA,NA,"01/2024","2",0,1,1,2024-01-01,NA
"14",14,2024-01-01 14:00:00,1409,1,6.53,4.41,NA,NA,NA,NA,NA,NA,"01/2024","2",0,1,1,2024-01-01,NA
"15",15,2024-01-01 15:00:00,1342,1,5.55,4.17,NA,NA,NA,NA,NA,NA,"01/2024","2",0,1,1,2024-01-01,NA
"16",16,2024-01-01 16:00:00,1413,1,6.08,5.02,NA,NA,NA,NA,NA,NA,"01/2024","3",0,1,1,2024-01-01,NA
"17",17,2024-01-01 17:00:00,1404,1,5.31,6.42,NA,NA,NA,NA,NA,NA,"01/2024","3",0,1,1,2024-01-01,NA
"18",18,2024-01-01 18:00:00,1040,1,5.64,9.72,NA,NA,NA,NA,NA,NA,"01/2024","3",0,1,1,2024-01-01,NA
"19",19,2024-01-01 19:00:00,584,1,4.45,11.51,NA,NA,NA,NA,NA,NA,"01/2024","3",0,1,1,2024-01-01,NA
"20",20,2024-01-01 20:00:00,415,1,5.46,9.13,NA,NA,NA,NA,NA,NA,"01/2024","3",0,1,1,2024-01-01,NA
"21",21,2024-01-01 21:00:00,229,1,4.44,6.89,NA,NA,NA,NA,NA,NA,"01/2024","3",0,1,1,2024-01-01,NA
"22",22,2024-01-01 22:00:00,178,1,3.59,9.09,NA,NA,NA,NA,NA,NA,"01/2024","3",0,1,1,2024-01-01,NA
"23",23,2024-01-01 23:00:00,139,1,6.47,9.47,NA,NA,NA,NA,NA,NA,"01/2024","3",0,1,1,2024-01-01,NA
"24",24,2024-01-02,92,2,6.92,9.73,NA,NA,NA,NA,NA,NA,"01/2024","1",0,1,1,2024-01-01,NA
"25",25,2024-01-02 01:00:00,53,2,10.3,10.04,NA,NA,NA,NA,NA,NA,"01/2024","1",0,1,0,2024-01-02,NA
"26",26,2024-01-02 02:00:00,76,2,7.51,12,NA,NA,NA,NA,NA,NA,"01/2024","1",0,1,0,2024-01-02,NA
"27",27,2024-01-02 03:00:00,124,2,11.3,14.4,NA,NA,NA,NA,NA,NA,"01/2024","1",0,1,0,2024-01-02,NA
"28",28,2024-01-02 04:00:00,390,2,12.97,19.92,NA,NA,NA,NA,NA,NA,"01/2024","1",0,1,0,2024-01-02,NA
"29",29,2024-01-02 05:00:00,1398,2,13.53,29.14,NA,NA,NA,NA,NA,NA,"01/2024","1",0,1,0,2024-01-02,NA
"30",30,2024-01-02 06:00:00,2008,2,16.87,31.48,NA,NA,NA,NA,NA,NA,"01/2024","1",0,1,0,2024-01-02,NA
"31",31,2024-01-02 07:00:00,2060,2,18.92,32.53,NA,NA,NA,NA,NA,NA,"01/2024","1",0,1,0,2024-01-02,NA
"32",32,2024-01-02 08:00:00,1764,2,11.77,11.31,NA,NA,NA,NA,NA,NA,"01/2024","2",0,1,0,2024-01-02,NA
"33",33,2024-01-02 09:00:00,1722,2,4.4,9.31,NA,NA,NA,NA,NA,NA,"01/2024","2",0,1,0,2024-01-02,NA
"34",34,2024-01-02 10:00:00,1747,2,4.05,8.94,NA,NA,NA,NA,NA,NA,"01/2024","2",0,1,0,2024-01-02,NA
"35",35,2024-01-02 11:00:00,1725,2,1.74,8.21,NA,NA,NA,NA,NA,NA,"01/2024","2",0,1,0,2024-01-02,NA
"36",36,2024-01-02 12:00:00,1526,2,2.15,8.69,NA,NA,NA,NA,NA,NA,"01/2024","2",0,1,0,2024-01-02,NA
"37",37,2024-01-02 13:00:00,1538,2,1.82,9.03,NA,NA,NA,NA,NA,NA,"01/2024","2",0,1,0,2024-01-02,NA
"38",38,2024-01-02 14:00:00,2119,2,2.53,10.06,NA,NA,NA,NA,NA,NA,"01/2024","2",0,1,0,2024-01-02,NA
"39",39,2024-01-02 15:00:00,2514,2,4.4,14.66,NA,NA,NA,NA,NA,NA,"01/2024","2",0,1,0,2024-01-02,NA
"40",40,2024-01-02 16:00:00,2166,2,8.33,26.1,NA,NA,NA,NA,NA,NA,"01/2024","3",0,1,0,2024-01-02,NA
"41",41,2024-01-02 17:00:00,1858,2,18.28,22.55,NA,NA,NA,NA,NA,NA,"01/2024","3",0,1,0,2024-01-02,NA
"42",42,2024-01-02 18:00:00,1347,2,22.49,43.19,NA,NA,NA,NA,NA,NA,"01/2024","3",0,1,0,2024-01-02,NA
"43",43,2024-01-02 19:00:00,930,2,19.95,26.05,NA,NA,NA,NA,NA,NA,"01/2024","3",0,1,0,2024-01-02,NA
"44",44,2024-01-02 20:00:00,532,2,27.61,30.44,NA,NA,NA,NA,NA,NA,"01/2024","3",0,1,0,2024-01-02,NA
"45",45,2024-01-02 21:00:00,311,2,32.44,25.24,NA,NA,NA,NA,NA,NA,"01/2024","3",0,1,0,2024-01-02,NA
"46",46,2024-01-02 22:00:00,264,2,34.87,32.23,NA,NA,NA,NA,NA,NA,"01/2024","3",0,1,0,2024-01-02,NA
"47",47,2024-01-02 23:00:00,133,2,34.77,32.27,NA,NA,NA,NA,NA,NA,"01/2024","3",0,1,0,2024-01-02,NA
"48",48,2024-01-03,96,3,29.69,26.13,NA,NA,NA,NA,NA,NA,"01/2024","1",0,1,0,2024-01-02,NA
"49",49,2024-01-03 01:00:00,77,3,7.08,17.89,NA,NA,NA,NA,NA,NA,"01/2024","1",0,1,0,2024-01-03,NA
"50",50,2024-01-03 02:00:00,81,3,16.45,16.71,NA,NA,NA,NA,NA,NA,"01/2024","1",0,1,0,2024-01-03,NA
"51",51,2024-01-03 03:00:00,95,3,4,5.64,NA,NA,NA,NA,NA,NA,"01/2024","1",0,1,0,2024-01-03,NA
"52",52,2024-01-03 04:00:00,393,3,1.67,4.22,NA,NA,NA,NA,NA,NA,"01/2024","1",0,1,0,2024-01-03,NA
"53",53,2024-01-03 05:00:00,1589,3,3.1,4.27,NA,NA,NA,NA,NA,NA,"01/2024","1",0,1,0,2024-01-03,NA
"54",54,2024-01-03 06:00:00,2153,3,1.12,3.16,NA,NA,NA,NA,NA,NA,"01/2024","1",0,1,0,2024-01-03,NA
"55",55,2024-01-03 07:00:00,2668,3,3.15,4.56,NA,NA,NA,NA,NA,NA,"01/2024","1",0,1,0,2024-01-03,NA
"56",56,2024-01-03 08:00:00,2347,3,3.44,4.77,NA,NA,NA,NA,NA,NA,"01/2024","2",0,1,0,2024-01-03,NA
"57",57,2024-01-03 09:00:00,2257,3,2.54,4.36,NA,NA,NA,NA,NA,NA,"01/2024","2",0,1,0,2024-01-03,NA
"58",58,2024-01-03 10:00:00,2097,3,2.33,4.3,NA,NA,NA,NA,NA,NA,"01/2024","2",0,1,0,2024-01-03,NA
"59",59,2024-01-03 11:00:00,2110,3,3.59,4.17,NA,NA,NA,NA,NA,NA,"01/2024","2",0,1,0,2024-01-03,NA
"60",60,2024-01-03 12:00:00,2118,3,3.05,6.56,NA,NA,NA,NA,NA,NA,"01/2024","2",0,1,0,2024-01-03,NA
"61",61,2024-01-03 13:00:00,2309,3,1.52,5.47,NA,NA,NA,NA,NA,NA,"01/2024","2",0,1,0,2024-01-03,NA
"62",62,2024-01-03 14:00:00,2518,3,2.54,7.57,11,77.5,95240,0,18.72,0,"01/2024","2",0,1,0,2024-01-03,NA
"63",63,2024-01-03 15:00:00,2679,3,1.87,7,10.68,79.4,95480,7.32,18.48,0,"01/2024","2",0,1,0,2024-01-03,NA
"64",64,2024-01-03 16:00:00,2342,3,2.85,8.05,9.88,82.88,95737.5,5.41,17.04,0,"01/2024","3",0,1,0,2024-01-03,NA
"65",65,2024-01-03 17:00:00,2020,3,3.85,7.1,9.12,84.28,95902.5,3.72,10.8,0,"01/2024","3",0,1,0,2024-01-03,NA
"66",66,2024-01-03 18:00:00,1464,3,2.67,7.08,9.5,83.2,95880,5.31,15.12,0,"01/2024","3",0,1,0,2024-01-03,NA
"67",67,2024-01-03 19:00:00,876,3,1.59,6.01,8.9,83.08,95890,6.36,16.44,0,"01/2024","3",0,1,0,2024-01-03,NA
"68",68,2024-01-03 20:00:00,637,3,1.55,6.8,8.28,84.17,95990,5.51,13.8,0,"01/2024","3",0,1,0,2024-01-03,NA
"69",69,2024-01-03 21:00:00,385,3,1.97,8.52,8.32,85.62,96012.5,4.5,11.16,0,"01/2024","3",0,1,0,2024-01-03,NA
"70",70,2024-01-03 22:00:00,306,3,2.52,8.71,8.75,85.28,95890,5.1,14.64,0,"01/2024","3",0,1,0,2024-01-03,NA
"71",71,2024-01-03 23:00:00,115,3,2.36,6.64,9.63,81.6,95756.67,4.71,14.56,0,"01/2024","3",0,1,0,2024-01-03,NA
"72",72,2024-01-04,91,4,1.18,8.32,8.97,85.08,95772.5,5.37,15.6,0.09,"01/2024","1",0,1,0,2024-01-03,NA
"73",73,2024-01-04 01:00:00,96,4,1.39,6.09,8.62,83.72,95890,4.26,11.52,0,"01/2024","1",0,1,0,2024-01-04,7.085
"74",74,2024-01-04 02:00:00,73,4,0.95,6.57,8.12,85.55,95947.5,4.31,12.72,0,"01/2024","1",0,1,0,2024-01-04,7.085
"75",75,2024-01-04 03:00:00,132,4,0.77,7.1,7.97,86.8,96032.5,4.12,9.96,0,"01/2024","1",0,1,0,2024-01-04,7.085
"76",76,2024-01-04 04:00:00,398,4,0.76,6.67,8.43,84.4,96010,3.6,10.56,0,"01/2024","1",0,1,0,2024-01-04,7.085
"77",77,2024-01-04 05:00:00,1401,4,0.72,7.52,8.22,85.05,95997.5,3.31,10.08,0,"01/2024","1",0,1,0,2024-01-04,7.085
"78",78,2024-01-04 06:00:00,2112,4,0.78,8.1,8.4,83.67,96032.5,4.97,13.2,0,"01/2024","1",0,1,0,2024-01-04,7.085
"79",79,2024-01-04 07:00:00,2569,4,0.88,6.84,8.95,80.6,96035,5.29,15.48,0,"01/2024","1",0,1,0,2024-01-04,7.085
"80",80,2024-01-04 08:00:00,2481,4,0.86,6.26,8.9,80.3,96085,4.42,12.96,0,"01/2024","2",0,1,0,2024-01-04,7.085
"81",81,2024-01-04 09:00:00,2284,4,1.02,4.93,10.38,73.53,96015,5.14,14.16,0,"01/2024","2",0,1,0,2024-01-04,7.085
"82",82,2024-01-04 10:00:00,2304,4,0.49,4.22,11.5,65.83,95810,6.44,17.12,0,"01/2024","2",0,1,0,2024-01-04,7.085
"83",83,2024-01-04 11:00:00,2231,4,0.8,4.17,11.03,66.8,95785,6.53,18.48,0,"01/2024","2",0,1,0,2024-01-04,7.085
"84",84,2024-01-04 12:00:00,2287,4,0.71,4.66,10.82,67.65,95872.5,6.17,20.52,0,"01/2024","2",0,1,0,2024-01-04,7.085
"85",85,2024-01-04 13:00:00,2255,4,0.8,7.62,9.9,72.53,96020,6.89,20.76,0,"01/2024","2",0,1,0,2024-01-04,7.085
"86",86,2024-01-04 14:00:00,2548,4,1.67,12.74,8.75,78.15,96337.5,5.54,16.2,0,"01/2024","2",0,1,0,2024-01-04,7.085
"87",87,2024-01-04 15:00:00,2748,4,1.41,17.43,8.03,82.62,96585,4.14,13.8,0.09,"01/2024","2",0,1,0,2024-01-04,7.085
"88",88,2024-01-04 16:00:00,2392,4,1.46,12.88,7.92,82.25,96805,5.73,21,0,"01/2024","3",0,1,0,2024-01-04,7.085
"89",89,2024-01-04 17:00:00,1870,4,3.58,11.79,8.12,79.8,96822.5,4.01,12.96,0,"01/2024","3",0,1,0,2024-01-04,7.085
"90",90,2024-01-04 18:00:00,1395,4,1.38,12.92,7.4,81.4,96960,2.74,8.64,0.35,"01/2024","3",0,1,0,2024-01-04,7.085
"91",91,2024-01-04 19:00:00,963,4,2.35,16.68,6.27,86.19,97275.71,2.45,8.64,0,"01/2024","3",0,1,0,2024-01-04,7.085
"92",92,2024-01-04 20:00:00,570,4,4.85,25.93,5.87,88.2,97416.67,0.69,3.04,0,"01/2024","3",0,1,0,2024-01-04,7.085
"93",93,2024-01-04 21:00:00,367,4,4.5,20.62,5.32,91.83,97522.5,0.74,2.76,0,"01/2024","3",0,1,0,2024-01-04,7.085
"94",94,2024-01-04 22:00:00,277,4,5.92,18.73,5.2,93.1,97610,0.71,3.72,0,"01/2024","3",0,1,0,2024-01-04,7.085
"95",95,2024-01-04 23:00:00,143,4,9.33,18.34,4.6,97.01,97682.86,1.47,4.73,0.1,"01/2024","3",0,1,0,2024-01-04,7.085
"96",96,2024-01-05,103,5,11.28,14.29,3.55,98.67,97827.5,1.17,3.84,0,"01/2024","1",0,1,0,2024-01-04,7.085
"97",97,2024-01-05 01:00:00,78,5,13.85,14.95,2.6,99.9,98045,1.07,4.2,0,"01/2024","1",0,1,0,2024-01-05,3.3625
"98",98,2024-01-05 02:00:00,63,5,15.21,12.9,1.62,99.92,98155,1.34,3.96,0,"01/2024","1",0,1,0,2024-01-05,3.3625
"99",99,2024-01-05 03:00:00,104,5,16.75,14.35,1.62,99.55,98185,1.02,3.36,0,"01/2024","1",0,1,0,2024-01-05,3.3625
"100",100,2024-01-05 04:00:00,341,5,15,13.55,1.6,99.3,98150,1.41,4.08,0,"01/2024","1",0,1,0,2024-01-05,3.3625
"101",101,2024-01-05 05:00:00,1462,5,14.82,14.5,1.38,99.28,98085,2.55,5.28,0,"01/2024","1",0,1,0,2024-01-05,3.3625
"102",102,2024-01-05 06:00:00,2193,5,14.69,16.19,1.53,99.1,98113.33,1.28,5.28,0,"01/2024","1",0,1,0,2024-01-05,3.3625
"103",103,2024-01-05 07:00:00,2594,5,18.85,21.47,1.83,98.8,98070,1.81,4,0,"01/2024","1",0,1,0,2024-01-05,3.3625
"104",104,2024-01-05 08:00:00,2469,5,18.39,23.03,2.22,98.62,98035,0.96,3.24,0,"01/2024","2",0,1,0,2024-01-05,3.3625
"105",105,2024-01-05 09:00:00,2319,5,19.7,20.24,2.8,97.8,97952.5,0.63,2.76,0,"01/2024","2",0,1,0,2024-01-05,3.3625
"106",106,2024-01-05 10:00:00,2282,5,20.95,21.51,3.48,96.22,97842.5,0.57,2.64,0,"01/2024","2",0,1,0,2024-01-05,3.3625
"107",107,2024-01-05 11:00:00,2321,5,24.3,24.11,4.08,94.35,97700,0.69,2.76,0,"01/2024","2",0,1,0,2024-01-05,3.3625
"108",108,2024-01-05 12:00:00,2378,5,24.68,25.55,4.55,93.85,97515,0.94,3.48,0.09,"01/2024","2",0,1,0,2024-01-05,3.3625
"109",109,2024-01-05 13:00:00,2589,5,24.05,21.15,5.18,92.62,97375,0.66,2.88,0,"01/2024","2",0,1,0,2024-01-05,3.3625
"110",110,2024-01-05 14:00:00,2883,5,20.72,15.54,5.18,91.72,97325,1.22,4.08,0,"01/2024","2",0,1,0,2024-01-05,3.3625
"111",111,2024-01-05 15:00:00,2921,5,20.05,25.66,5.03,93.73,97390,0.38,1.92,0,"01/2024","2",0,1,0,2024-01-05,3.3625
"112",112,2024-01-05 16:00:00,2522,5,25.51,25.48,4.65,96.08,97447.5,0.69,3,0,"01/2024","3",0,1,0,2024-01-05,3.3625
"113",113,2024-01-05 17:00:00,2202,5,31.3,27.95,4.45,97.03,97540,0.25,1.56,0,"01/2024","3",0,1,0,2024-01-05,3.3625
"114",114,2024-01-05 18:00:00,1768,5,38.1,29.87,4.42,97.25,97557.5,0.44,2.88,0,"01/2024","3",0,1,0,2024-01-05,3.3625
"115",115,2024-01-05 19:00:00,1104,5,40.22,26.09,4.15,98.35,97577.5,0.24,1.44,0,"01/2024","3",0,1,0,2024-01-05,3.3625
"116",116,2024-01-05 20:00:00,695,5,35.21,24.7,3.58,99.08,97680,0.99,3.48,0,"01/2024","3",0,1,0,2024-01-05,3.3625
"117",117,2024-01-05 21:00:00,439,5,39.7,24.11,3.22,99.08,97757.5,1.86,5.76,0,"01/2024","3",0,1,0,2024-01-05,3.3625
"118",118,2024-01-05 22:00:00,383,5,35.34,19.07,2.75,99.12,97862.5,0.87,2.76,0,"01/2024","3",0,1,0,2024-01-05,3.3625
"119",119,2024-01-05 23:00:00,245,5,42.56,21.36,2.4,99.37,97920,1.27,4.48,0,"01/2024","3",0,1,0,2024-01-05,3.3625
"120",120,2024-01-06,165,6,36.31,19.33,2,99.6,97985,0.27,2.04,0,"01/2024","1",0,1,0,2024-01-05,3.3625
"121",121,2024-01-06 01:00:00,124,6,42.15,18.33,2.13,99.6,97986.67,1.17,4.48,0,"01/2024","1",0,1,0,2024-01-06,3.9725
"122",122,2024-01-06 02:00:00,124,6,40.76,17.53,2.62,99.2,97935,0.45,1.68,0,"01/2024","1",0,1,0,2024-01-06,3.9725
"123",123,2024-01-06 03:00:00,134,6,42.54,20.31,2.92,98.83,97867.5,0.57,2.76,0,"01/2024","1",0,1,0,2024-01-06,3.9725
"124",124,2024-01-06 04:00:00,246,6,43.95,19.94,3.35,98.9,97807.5,0.31,1.56,0,"01/2024","1",0,1,0,2024-01-06,3.9725
"125",125,2024-01-06 05:00:00,501,6,43.41,18.58,3.65,98.5,97742.5,0.16,1.32,0,"01/2024","1",0,1,0,2024-01-06,3.9725
"126",126,2024-01-06 06:00:00,668,6,52.44,19.02,3.7,98.58,97742.5,0.52,2.16,0,"01/2024","1",0,1,0,2024-01-06,3.9725
"127",127,2024-01-06 07:00:00,836,6,55.73,18.88,3.83,98.4,97797.5,0.32,1.8,0,"01/2024","1",0,1,0,2024-01-06,3.9725
"128",128,2024-01-06 08:00:00,1086,6,42.71,22.42,4.05,96.72,97822.5,0.68,3.12,0,"01/2024","2",0,1,0,2024-01-06,3.9725
"129",129,2024-01-06 09:00:00,1472,6,46.23,24.31,4.42,95.53,97805,0.49,2.52,0,"01/2024","2",0,1,0,2024-01-06,3.9725
"130",130,2024-01-06 10:00:00,1721,6,43,25.95,4.63,95,97773.33,0.68,3.36,0,"01/2024","2",0,1,0,2024-01-06,3.9725
"131",131,2024-01-06 11:00:00,1742,6,40.15,22.74,4.78,94.17,97717.5,0.61,3,0,"01/2024","2",0,1,0,2024-01-06,3.9725
"132",132,2024-01-06 12:00:00,1896,6,40.28,22.81,5.3,92.78,97627.5,1.41,4.68,0,"01/2024","2",0,1,0,2024-01-06,3.9725
"133",133,2024-01-06 13:00:00,2061,6,46.79,21.95,5.53,92.55,97555,1.29,4.2,0,"01/2024","2",0,1,0,2024-01-06,3.9725
"134",134,2024-01-06 14:00:00,2137,6,57.84,26.51,5.4,94.2,97612.5,1.36,4.68,0,"01/2024","2",0,1,0,2024-01-06,3.9725
"135",135,2024-01-06 15:00:00,2063,6,52.21,29.6,5.35,94.92,97705,1.06,3.6,0,"01/2024","2",0,1,0,2024-01-06,3.9725
"136",136,2024-01-06 16:00:00,2080,6,50.92,24.84,4.85,96.2,97872.5,1.58,4.56,0,"01/2024","3",0,1,0,2024-01-06,3.9725
"137",137,2024-01-06 17:00:00,1911,6,37.38,13.54,4.03,97.15,98097.5,0.76,5.16,0,"01/2024","3",0,1,0,2024-01-06,3.9725
"138",138,2024-01-06 18:00:00,1584,6,19.79,9.99,4.53,91.7,98067.5,4.51,15.24,0,"01/2024","3",0,1,0,2024-01-06,3.9725
"139",139,2024-01-06 19:00:00,1059,6,16.9,7.43,3.83,90.25,98180,6.32,15.72,0,"01/2024","3",0,1,0,2024-01-06,3.9725
"140",140,2024-01-06 20:00:00,719,6,19.21,7.35,3.67,89.23,98236.67,4.94,16,0,"01/2024","3",0,1,0,2024-01-06,3.9725
"141",141,2024-01-06 21:00:00,399,6,22.82,7.39,3.33,90.58,98267.5,2.97,9.36,0,"01/2024","3",0,1,0,2024-01-06,3.9725
"142",142,2024-01-06 22:00:00,363,6,19.18,6.1,2.92,90.03,98330,4.1,14.76,0,"01/2024","3",0,1,0,2024-01-06,3.9725
"143",143,2024-01-06 23:00:00,197,6,13.53,5.84,2.28,88.2,98455,4.56,14.88,0,"01/2024","3",0,1,0,2024-01-06,3.9725
"144",144,2024-01-07,138,7,15,6.56,1.93,88.38,98567.5,4.5,14.16,0,"01/2024","1",0,1,0,2024-01-06,3.9725
"145",145,2024-01-07 01:00:00,119,7,15.3,6.7,1.12,88.95,98707.5,6.2,17.4,0,"01/2024","1",0,1,0,2024-01-07,-1.915
"146",146,2024-01-07 02:00:00,90,7,14.38,7.19,0.55,89.88,98880,3.85,11.16,0,"01/2024","1",0,1,0,2024-01-07,-1.915
"147",147,2024-01-07 03:00:00,73,7,14.67,6.23,0.1,86.65,98975,6.94,19.32,0,"01/2024","1",0,1,0,2024-01-07,-1.915
"148",148,2024-01-07 04:00:00,130,7,15.28,5.99,-0.22,86.35,99047.5,6.54,18.48,0,"01/2024","1",0,1,0,2024-01-07,-1.915
"149",149,2024-01-07 05:00:00,369,7,14.9,6.55,-0.5,86.93,99136.67,5.67,16.8,0,"01/2024","1",0,1,0,2024-01-07,-1.915
"150",150,2024-01-07 06:00:00,393,7,13.81,6.38,-0.7,86.42,99225,5.32,16.2,0,"01/2024","1",0,1,0,2024-01-07,-1.915
"151",151,2024-01-07 07:00:00,474,7,13.1,6.45,-0.82,84.3,99317.5,8.29,17.64,0,"01/2024","1",0,1,0,2024-01-07,-1.915
"152",152,2024-01-07 08:00:00,544,7,11.76,7.11,-0.85,83.28,99407.5,8.17,18.24,0,"01/2024","2",0,1,0,2024-01-07,-1.915
"153",153,2024-01-07 09:00:00,890,7,12.65,7.65,-1.05,83.9,99495,8.58,20.88,0,"01/2024","2",0,1,0,2024-01-07,-1.915
"154",154,2024-01-07 10:00:00,1163,7,10.46,6.85,-1.18,79.8,99570,7.69,19.56,0,"01/2024","2",0,1,0,2024-01-07,-1.915
"155",155,2024-01-07 11:00:00,1267,7,7.55,6.57,-1.25,77.35,99607.5,8.4,20.28,0,"01/2024","2",0,1,0,2024-01-07,-1.915
"156",156,2024-01-07 12:00:00,1522,7,6.26,6.99,-1.48,75.97,99647.5,9.5,22.68,0,"01/2024","2",0,1,0,2024-01-07,-1.915
"157",157,2024-01-07 13:00:00,1698,7,5.74,7.17,-1.43,73.15,99672.5,7.05,20.04,0,"01/2024","2",0,1,0,2024-01-07,-1.915
"158",158,2024-01-07 14:00:00,1826,7,3.56,6.08,-1.8,70.1,99763.33,7.75,20.8,0,"01/2024","2",0,1,0,2024-01-07,-1.915
"159",159,2024-01-07 15:00:00,1811,7,3.85,11.07,-2.35,70.58,99952.5,7.54,17.64,0,"01/2024","2",0,1,0,2024-01-07,-1.915
"160",160,2024-01-07 16:00:00,1934,7,4.03,14,-2.85,74.3,100192.5,5.67,14.28,0,"01/2024","3",0,1,0,2024-01-07,-1.915
"161",161,2024-01-07 17:00:00,1870,7,3.7,14.3,-2.88,75.3,100295,6.31,17.52,0,"01/2024","3",0,1,0,2024-01-07,-1.915
"162",162,2024-01-07 18:00:00,1468,7,4.41,11.12,-2.75,74.65,100305,5.13,13.68,0,"01/2024","3",0,1,0,2024-01-07,-1.915
"163",163,2024-01-07 19:00:00,1029,7,4.31,11.13,-2.48,74.9,100295,7.21,18,0,"01/2024","3",0,1,0,2024-01-07,-1.915
"164",164,2024-01-07 20:00:00,616,7,4.21,9.8,-2.62,75.12,100330,8.25,21.48,0,"01/2024","3",0,1,0,2024-01-07,-1.915
"165",165,2024-01-07 21:00:00,369,7,4.8,9.92,-2.52,76.03,100345,7.69,20.88,0,"01/2024","3",0,1,0,2024-01-07,-1.915
"166",166,2024-01-07 22:00:00,275,7,5.21,9.62,-2.52,77.15,100362.5,5.38,16.2,0,"01/2024","3",0,1,0,2024-01-07,-1.915
"167",167,2024-01-07 23:00:00,175,7,4.74,9.45,-2.77,76.93,100406.67,7.24,19.52,0,"01/2024","3",0,1,0,2024-01-07,-1.915
"168",168,2024-01-08,111,1,5.05,11.48,-3.2,79.4,100487.5,7.77,19.2,0,"01/2024","1",0,1,0,2024-01-07,-1.915
"169",169,2024-01-08 01:00:00,138,1,4.03,11.7,-3.38,78.35,100567.5,5.66,17.04,0,"01/2024","1",0,1,0,2024-01-08,-6.1525
"170",170,2024-01-08 02:00:00,131,1,4.34,13.27,-3.45,77.05,100607.5,5.68,16.2,0,"01/2024","1",0,1,0,2024-01-08,-6.1525
"171",171,2024-01-08 03:00:00,179,1,4.03,10.05,-3.78,77.5,100727.5,5.53,14.16,0,"01/2024","1",0,1,0,2024-01-08,-6.1525
"172",172,2024-01-08 04:00:00,483,1,4.28,8.96,-4.22,79.22,100835,4.86,12.96,0,"01/2024","1",0,1,0,2024-01-08,-6.1525
"173",173,2024-01-08 05:00:00,1640,1,5.87,9.39,-5.08,81.2,101030,5.85,14.04,0,"01/2024","1",0,1,0,2024-01-08,-6.1525
"174",174,2024-01-08 06:00:00,2558,1,8.33,9.49,-6.3,81.35,101240,8.85,17.52,0,"01/2024","1",0,1,0,2024-01-08,-6.1525
"175",175,2024-01-08 07:00:00,2716,1,9.6,10.57,-7.2,82.7,101476.67,9.41,18.08,0,"01/2024","1",0,1,0,2024-01-08,-6.1525
"176",176,2024-01-08 08:00:00,2568,1,10.38,11.63,-7.68,81.65,101655,10.81,21.24,0,"01/2024","2",0,1,0,2024-01-08,-6.1525
"177",177,2024-01-08 09:00:00,2477,1,11.16,10.55,-6.68,76.1,101650,8.92,21.24,0,"01/2024","2",0,1,0,2024-01-08,-6.1525
"178",178,2024-01-08 10:00:00,2383,1,11.65,11.37,-5,68.05,101497.5,7.45,18.72,0,"01/2024","2",0,1,0,2024-01-08,-6.1525
"179",179,2024-01-08 11:00:00,2233,1,11.38,7.25,-4.32,64.55,101342.5,7,18.36,0,"01/2024","2",0,1,0,2024-01-08,-6.1525
"180",180,2024-01-08 12:00:00,1736,1,11.15,7.32,-2.7,59.35,101042.5,6.14,15.24,0,"01/2024","2",0,1,0,2024-01-08,-6.1525
"181",181,2024-01-08 13:00:00,1794,1,10.32,6.49,-2.35,55.92,100875,7.15,20.04,0,"01/2024","2",0,1,0,2024-01-08,-6.1525
"182",182,2024-01-08 14:00:00,2052,1,9.5,6.01,-2.65,54.52,100927.5,9.71,25.44,0,"01/2024","2",0,1,0,2024-01-08,-6.1525
